name,moviename,peopleCd,수상횟수,totalpeople
최민식,명량,10072251,20,2
최민식,대호,10072251,20,2
최민식,특별시민,10072251,20,2
최민식,침묵,10072251,20,2
류승룡,명량,10019065,6,4
류승룡,표적,10019065,6,4
류승룡,손님,10019065,6,4
류승룡,도리화가,10019065,6,4
류승룡,염력,10019065,6,4
류승룡,7년의 밤,10019065,6,4
조진웅,명량,10067353,6,5
조진웅,끝까지 간다,10067353,6,5
조진웅,우리는 형제입니다,10067353,6,5
조진웅,장수상회,10067353,6,5
조진웅,아가씨,10067353,6,5
조진웅,사냥,10067353,6,5
조진웅,보안관,10067353,6,5
조진웅,해빙,10067353,6,5
조진웅,대장 김창수,10067353,6,5
조진웅,완벽한 타인,10067353,6,5
조진웅,독전,10067353,6,5
조진웅,공작,10067353,6,5
조진웅,독전: 익스텐디드 컷,10067353,6,5
김남길,해적: 바다로 간 산적,10003788,0,1
김남길,무뢰한,10003788,0,1
김남길,판도라,10003788,0,1
김남길,살인자의 기억법,10003788,0,1
김남길,어느날,10003788,0,1
손예진,해적: 바다로 간 산적,10036883,19,3
손예진,덕혜옹주,10036883,19,3
손예진,비밀은 없다,10036883,19,3
손예진,지금 만나러 갑니다,10036883,19,3
손예진,협상,10036883,19,3
심은경,수상한 그녀,10040874,5,3
심은경,널 기다리며,10040874,5,3
심은경,"로봇, 소리",10040874,5,3
심은경,걷기왕,10040874,5,3
심은경,조작된 도시,10040874,5,3
심은경,특별시민,10040874,5,3
심은경,궁합,10040874,5,3
심은경,염력,10040874,5,3
나문희,수상한 그녀,10006877,15,1
나문희,아이 캔 스피크,10006877,15,1
박인환,수상한 그녀,20192204,0,1
성동일,수상한 그녀,10035832,1,5
성동일,탐정 : 더 비기닝,10035832,1,5
성동일,비밀,10035832,1,5
성동일,특별수사: 사형수의 편지,10035832,1,5
성동일,리얼,10035832,1,5
성동일,반드시 잡는다,10035832,1,5
성동일,탐정: 리턴즈,10035832,1,5
이진욱,수상한 그녀,10057628,0,1
이진욱,표적,10057628,0,1
이진욱,뷰티 인사이드,10057628,0,1
이진욱,시간이탈자,10057628,0,1
김윤진,국제시장,10005297,5,2
김윤진,시간위의 집,10005297,5,2
오달수,국제시장,10050151,7,14
오달수,베테랑,10050151,7,14
오달수,조선명탐정 : 사라진 놉의 딸,10050151,7,14
오달수,터널,10050151,7,14
오달수,마스터,10050151,7,14
오달수,국가대표 2,10050151,7,14
오달수,대배우,10050151,7,14
