,name,moviename
0,최민식,명량
1,류승룡,명량
2,조진웅,명량
3,김남길,해적: 바다로 간 산적
4,손예진,해적: 바다로 간 산적
5,심은경,수상한 그녀
6,나문희,수상한 그녀
7,박인환,수상한 그녀
8,성동일,수상한 그녀
9,이진욱,수상한 그녀
10,황정민,국제시장
11,김윤진,국제시장
12,오달수,국제시장
13,정진영,국제시장
14,하정우,군도: 민란의 시대
15,강동원,군도: 민란의 시대
16,T.O.P,타짜-신의 손
17,신세경,타짜-신의 손
18,곽도원,타짜-신의 손
19,이하늬,타짜-신의 손
20,현빈,역린
21,정재영,역린
22,조정석,역린
23,조재현,역린
24,한지민,역린
25,정우성,신의 한 수
26,이범수,신의 한 수
27,안성기,신의 한 수
28,김인권,신의 한 수
29,이시영,신의 한 수
30,이선균,끝까지 간다
31,조진웅,끝까지 간다
32,류승룡,표적
33,유준상,표적
34,이진욱,표적
35,김성령,표적
36,조여정,표적
37,조은지,표적
38,조정석,나의 사랑 나의 신부
39,신민아,나의 사랑 나의 신부
40,황정민,남자가 사랑할 때
41,한혜진,남자가 사랑할 때
42,김우빈,기술자들
43,김영철,기술자들
44,고창석,기술자들
45,이현우,기술자들
46,조윤희,기술자들
47,임주환,기술자들
48,박해일,제보자
49,유연석,제보자
50,이경영,제보자
51,박보영,피끓는 청춘
52,이종석,피끓는 청춘
53,이세영,피끓는 청춘
54,김영광,피끓는 청춘
55,강동원,두근두근 내 인생
56,송혜교,두근두근 내 인생
57,조성목,두근두근 내 인생
58,김희애,우아한 거짓말
59,고아성,우아한 거짓말
60,김유정,우아한 거짓말
61,김향기,우아한 거짓말
62,김윤석,해무(海霧)
63,박유천,해무(海霧)
64,한예리,해무(海霧)
65,이희준,해무(海霧)
66,문성근,해무(海霧)
67,김상호,해무(海霧)
68,유승목,해무(海霧)
69,송승헌,인간중독
70,임지연,인간중독
71,조여정,인간중독
72,온주완,인간중독
73,김강우,찌라시: 위험한 소문
74,정진영,찌라시: 위험한 소문
75,고창석,찌라시: 위험한 소문
76,박성웅,찌라시: 위험한 소문
77,이정재,빅매치
78,신하균,빅매치
79,이성민,빅매치
80,보아,빅매치
81,차태현,슬로우 비디오
82,남상미,슬로우 비디오
83,정재영,방황하는 칼날
84,이성민,방황하는 칼날
85,조진웅,우리는 형제입니다
86,김성균,우리는 형제입니다
87,김영애,우리는 형제입니다
88,윤진이,우리는 형제입니다
89,염정아,카트
