,name,moviename,peopleCd,수상횟수
0,최민식,명량,10072251,20
1,류승룡,명량,10019065,6
2,조진웅,명량,10067353,6
3,김남길,해적: 바다로 간 산적,10003788,0
4,손예진,해적: 바다로 간 산적,10036883,19
5,심은경,수상한 그녀,10040874,5
6,나문희,수상한 그녀,10006877,15
7,박인환,수상한 그녀,20192204,0
8,성동일,수상한 그녀,10035832,1
9,이진욱,수상한 그녀,10057628,0
10,황정민,국제시장,20202906,0
11,김윤진,국제시장,10005297,5
12,오달수,국제시장,10050151,7
13,정진영,국제시장,10062279,2
14,하정우,군도: 민란의 시대,10087253,18
15,강동원,군도: 민란의 시대,10000558,5
16,T.O.P,타짜-신의 손,10072431,4
17,신세경,타짜-신의 손,10040425,1
18,곽도원,타짜-신의 손,20127192,4
19,이하늬,타짜-신의 손,20125825,0
20,현빈,역린,10088975,0
21,정재영,역린,10062184,11
22,조정석,역린,20121022,1
23,조재현,역린,10066929,4
24,한지민,역린,10087751,2
25,정우성,신의 한 수,10062025,4
26,이범수,신의 한 수,10055581,6
27,안성기,신의 한 수,10043371,21
28,김인권,신의 한 수,10005410,1
29,이시영,신의 한 수,10056359,1
30,이선균,끝까지 간다,10055970,2
31,조진웅,끝까지 간다,10067353,6
32,류승룡,표적,10019065,6
33,유준상,표적,10053981,1
34,이진욱,표적,10057628,0
35,김성령,표적,10004577,1
36,조여정,표적,10066680,2
37,조은지,표적,10066805,5
38,조정석,나의 사랑 나의 신부,20121022,1
39,신민아,나의 사랑 나의 신부,10040372,2
40,황정민,남자가 사랑할 때,10090290,16
41,한혜진,남자가 사랑할 때,10087814,0
42,김우빈,기술자들,20170901,1
43,김영철,기술자들,10005030,1
44,고창석,기술자들,10001779,2
45,이현우,기술자들,20164822,0
46,조윤희,기술자들,10066791,0
47,임주환,기술자들,10058796,0
48,박해일,제보자,10029474,7
49,유연석,제보자,20111976,0
50,이경영,제보자,10054755,11
51,박보영,피끓는 청춘,10028667,11
52,이종석,피끓는 청춘,20127912,0
53,이세영,피끓는 청춘,10056083,0
54,김영광,피끓는 청춘,20128311,0
55,강동원,두근두근 내 인생,10000558,5
56,송혜교,두근두근 내 인생,10037291,1
57,조성목,두근두근 내 인생,20191808,0
58,김희애,우아한 거짓말,10006537,1
59,고아성,우아한 거짓말,10001670,2
60,김유정,우아한 거짓말,10005251,0
61,김향기,우아한 거짓말,10006228,1
62,김윤석,해무(海霧),10005276,14
63,박유천,해무(海霧),20127310,5
64,한예리,해무(海霧),20090447,2
65,이희준,해무(海霧),10058320,2
66,문성근,해무(海霧),10026716,6
67,김상호,해무(海霧),10004448,1
68,유승목,해무(海霧),10053771,0
69,송승헌,인간중독,10037116,1
70,임지연,인간중독,20069387,3
71,조여정,인간중독,10066680,2
72,온주완,인간중독,10051070,1
73,김강우,찌라시: 위험한 소문,10003507,0
74,정진영,찌라시: 위험한 소문,10062279,2
75,고창석,찌라시: 위험한 소문,10001779,2
76,박성웅,찌라시: 위험한 소문,10028773,0
77,이정재,빅매치,10057315,10
78,신하균,빅매치,10040665,3
79,이성민,빅매치,20110148,1
80,보아,빅매치,20131537,0
81,차태현,슬로우 비디오,10071209,3
82,남상미,슬로우 비디오,10007527,0
83,정재영,방황하는 칼날,10062184,11
84,이성민,방황하는 칼날,20110148,1
85,조진웅,우리는 형제입니다,10067353,6
86,김성균,우리는 형제입니다,20127194,5
87,김영애,우리는 형제입니다,0,0
88,윤진이,우리는 형제입니다,20188853,0
89,염정아,카트,10049852,4
90,문정희,카트,10026802,2
91,김영애,카트,10004995,6
92,김강우,카트,10003507,0
93,엄정화,관능의 법칙,10047352,6
94,문소리,관능의 법칙,10026732,14
95,조민수,관능의 법칙,10065830,0
96,한석규,상의원,10087518,5
97,고수,상의원,10001656,2
98,박신혜,상의원,10028892,1
99,유연석,상의원,20111976,0
100,마동석,상의원,0,0
101,정재영,플랜맨,10062184,11
102,한지민,플랜맨,10087751,2
103,장동건,우는 남자,10060114,4
104,김민희,우는 남자,10004236,11
105,주원,패션왕,20112931,0
106,최진리,패션왕,10035775,0
107,이민기,황제를 위하여,10055447,1
108,박성웅,황제를 위하여,10028773,0
109,이태임,황제를 위하여,20153139,0
110,이민기,몬스터,10055447,1
111,김고은,몬스터,20125838,5
112,김뢰하,몬스터,10004034,0
113,박철민,또 하나의 약속,20110935,3
114,윤유선,또 하나의 약속,10054440,1
115,김규리,또 하나의 약속,20112163,0
116,박희정,또 하나의 약속,20183927,0
117,유세형,또 하나의 약속,20183928,0
118,이경영,또 하나의 약속,10054755,11
119,강하늘,소녀괴담,20111688,2
120,김소은,소녀괴담,10004713,0
121,하지원,조선미녀삼총사,10087280,9
122,강예원,조선미녀삼총사,20066563,0
123,가인,조선미녀삼총사,20121473,0
124,고창석,조선미녀삼총사,10001779,2
125,주상욱,조선미녀삼총사,10069038,0
126,정우성,마담 뺑덕,10062025,4
127,이솜,마담 뺑덕,20110323,1
128,박소영,마담 뺑덕,20181686,0
129,지성,좋은 친구들,20182426,0
130,주지훈,좋은 친구들,10069179,1
131,이광수,좋은 친구들,20111692,0
132,설경구,나의 독재자,10035772,22
133,박해일,나의 독재자,10029474,7
134,차승원,하이힐,10071140,3
135,오정세,하이힐,10050734,0
136,이솜,하이힐,20110323,1
137,윤계상,레드카펫,10054204,1
138,고준희,레드카펫,10001765,0
139,윤상현,덕수리 5형제,10054305,0
140,송새벽,덕수리 5형제,10037095,4
141,이아이,덕수리 5형제,10056447,0
142,찬성,덕수리 5형제,20176541,0
143,김지민,덕수리 5형제,20196270,0
144,이광수,덕수리 5형제,20111692,0
145,김상경,아빠를 빌려드립니다,10004396,1
146,문정희,아빠를 빌려드립니다,10026802,2
147,최다인,아빠를 빌려드립니다,0,0
148,채정안,아빠를 빌려드립니다,10071730,0
149,조재윤,아빠를 빌려드립니다,10066926,0
150,장혁,가시,10060612,0
151,조보아,가시,20180677,0
152,정경호,맨홀,10061581,0
153,정유미,맨홀,10062071,6
154,김새론,맨홀,10004452,6
155,정유미,터널 3D,10062072,0
156,연우진,터널 3D,10035632,0
157,송재림,터널 3D,20190050,0
158,정시연,터널 3D,20190051,0
159,신은경,설계,10040543,0
160,오인혜,설계,20170184,0
161,이기영,설계,0,0
162,강지섭,설계,20189428,0
163,윤시윤,백프로,10054379,0
164,여진구,백프로,10049790,3
165,천호진,백프로,10071900,0
166,이경영,백프로,10054755,11
167,박상면,백프로,10028686,0
168,이원종,백프로,10056895,1
169,황정민,베테랑,10090290,16
