,영화명,개봉후트윗
0,명량,320
1,해적: 바다로 간 산적,289
2,수상한 그녀,264
3,국제시장,251
4,군도: 민란의 시대,278
5,타짜-신의 손,261
6,역린,274
7,신의 한 수,115
8,끝까지 간다,219
9,표적,261
10,나의 사랑 나의 신부,183
11,남자가 사랑할 때,217
12,기술자들,252
13,제보자,275
14,피끓는 청춘,205
15,두근두근 내 인생,184
16,우아한 거짓말,217
17,해무(海霧),314
18,인간중독,255
19,찌라시: 위험한 소문,93
20,빅매치,218
21,슬로우 비디오,266
22,방황하는 칼날,215
23,우리는 형제입니다,226
24,카트,294
25,관능의 법칙,131
26,상의원,211
27,플랜맨,169
28,우는 남자,115
29,패션왕,203
30,황제를 위하여,158
31,몬스터,200
32,또 하나의 약속,304
33,소녀괴담,124
34,조선미녀삼총사,126
35,마담 뺑덕,55
36,좋은 친구들,140
37,나의 독재자,168
38,하이힐,211
39,레드카펫,168
40,덕수리 5형제,85
41,아빠를 빌려드립니다,50
42,가시,172
43,맨홀,159
44,터널 3D,0
45,설계,28
46,백프로,103
47,베테랑,296
48,암살,298
49,내부자들,263
50,사도,284
51,연평해전,294
52,검은 사제들,270
53,히말라야,252
54,조선명탐정 : 사라진 놉의 딸,169
55,스물,301
56,극비수사,231
57,탐정 : 더 비기닝,235
58,악의 연대기,182
59,강남 1970,203
60,뷰티 인사이드,111
61,오늘의 연애,227
62,쎄시봉,226
63,더 폰,160
64,대호,328
65,차이나타운,260
66,장수상회,238
67,성난 변호사,118
68,간신,262
69,그놈이다,182
70,미쓰 와이프,250
71,허삼관,226
72,살인의뢰,177
73,손님,228
74,열정같은소리하고있네,94
75,특종: 량첸살인기,170
76,서부전선,169
77,헬머니,59
78,위험한 상견례 2,53
79,순수의 시대,138
80,오피스,189
81,"협녀, 칼의 기억",133
82,무뢰한,237
83,내 심장을 쏴라,111
84,소수의견,268
85,경성학교: 사라진 소녀들,228
86,치외법권,88
87,극적인 하룻밤,27
88,도리화가,178
89,함정,87
90,조선마술사,174
91,연애의 맛,237
92,내부자들: 디 오리지널,252
93,은밀한 유혹,78
