,Date,Frequency,Movie
0,2014-07-30,41,명량
1,2014-07-31,39,명량
2,2014-08-01,44,명량
3,2014-08-02,59,명량
4,2014-08-03,49,명량
5,2014-08-04,41,명량
6,2014-08-05,47,명량
7,2014-08-06,42,해적
8,2014-08-07,39,해적
9,2014-08-08,41,해적
10,2014-08-09,39,해적
11,2014-08-10,38,해적
12,2014-08-11,47,해적
13,2014-08-12,43,해적
14,2014-01-22,33,수상한 그녀
15,2014-01-23,39,수상한 그녀
16,2014-01-24,36,수상한 그녀
17,2014-01-25,40,수상한 그녀
18,2014-01-26,40,수상한 그녀
19,2014-01-27,36,수상한 그녀
20,2014-01-28,40,수상한 그녀
21,2014-12-17,33,국제시장
22,2014-12-18,37,국제시장
23,2014-12-19,41,국제시장
24,2014-12-20,24,국제시장
25,2014-12-21,36,국제시장
26,2014-12-22,39,국제시장
27,2014-12-23,41,국제시장
28,2014-07-23,40,군도
29,2014-07-24,40,군도
30,2014-07-25,40,군도
31,2014-07-26,41,군도
32,2014-07-27,40,군도
33,2014-07-28,37,군도
34,2014-07-29,40,군도
35,2014-09-03,35,타짜
36,2014-09-04,38,타짜
37,2014-09-05,38,타짜
38,2014-09-06,31,타짜
39,2014-09-07,38,타짜
40,2014-09-08,41,타짜
41,2014-09-09,40,타짜
42,2014-04-30,37,역린
43,2014-05-01,40,역린
44,2014-05-02,40,역린
45,2014-05-03,35,역린
46,2014-05-04,36,역린
47,2014-05-05,42,역린
48,2014-05-06,44,역린
49,2014-07-03,20,신의 한 수
50,2014-07-04,13,신의 한 수
51,2014-07-05,18,신의 한 수
52,2014-07-06,16,신의 한 수
53,2014-07-07,25,신의 한 수
54,2014-07-08,11,신의 한 수
55,2014-07-09,12,신의 한 수
56,2014-05-29,20,끝까지 간다
57,2014-05-30,33,끝까지 간다
58,2014-05-31,32,끝까지 간다
59,2014-06-01,40,끝까지 간다
60,2014-06-02,31,끝까지 간다
61,2014-06-03,34,끝까지 간다
62,2014-06-04,29,끝까지 간다
63,2014-04-30,39,표적
64,2014-05-01,42,표적
65,2014-05-02,35,표적
66,2014-05-03,37,표적
67,2014-05-04,36,표적
68,2014-05-05,41,표적
69,2014-05-06,31,표적
70,2014-10-08,33,나의 사랑 나의 신부
71,2014-10-09,27,나의 사랑 나의 신부
72,2014-10-10,38,나의 사랑 나의 신부
73,2014-10-11,20,나의 사랑 나의 신부
74,2014-10-12,15,나의 사랑 나의 신부
75,2014-10-13,24,나의 사랑 나의 신부
76,2014-10-14,26,나의 사랑 나의 신부
77,2014-01-22,38,남자가 사랑할 때
78,2014-01-23,32,남자가 사랑할 때
79,2014-01-24,24,남자가 사랑할 때
80,2014-01-25,39,남자가 사랑할 때
81,2014-01-26,33,남자가 사랑할 때
82,2014-01-27,30,남자가 사랑할 때
83,2014-01-28,21,남자가 사랑할 때
84,2014-12-24,37,기술자들
85,2014-12-25,36,기술자들
86,2014-12-26,33,기술자들
87,2014-12-27,40,기술자들
88,2014-12-28,30,기술자들
89,2014-12-29,40,기술자들
90,2014-12-30,36,기술자들
91,2014-10-02,41,제보자
92,2014-10-03,43,제보자
93,2014-10-04,36,제보자
94,2014-10-05,42,제보자
95,2014-10-06,30,제보자
96,2014-10-07,42,제보자
97,2014-10-08,41,제보자
98,2014-01-22,33,피끓는 청춘
99,2014-01-23,36,피끓는 청춘
100,2014-01-24,28,피끓는 청춘
101,2014-01-25,28,피끓는 청춘
102,2014-01-26,22,피끓는 청춘
103,2014-01-27,35,피끓는 청춘
104,2014-01-28,23,피끓는 청춘
105,2014-09-03,39,두근두근 내 인생
106,2014-09-04,26,두근두근 내 인생
107,2014-09-05,18,두근두근 내 인생
108,2014-09-06,31,두근두근 내 인생
109,2014-09-07,18,두근두근 내 인생
110,2014-09-08,24,두근두근 내 인생
111,2014-09-09,28,두근두근 내 인생
112,2014-03-13,36,우아한 거짓말
113,2014-03-14,28,우아한 거짓말
114,2014-03-15,31,우아한 거짓말
115,2014-03-16,27,우아한 거짓말
116,2014-03-17,37,우아한 거짓말
117,2014-03-18,29,우아한 거짓말
118,2014-03-19,29,우아한 거짓말
119,2014-08-13,55,해무
