,영화명,개봉전트윗
0,명량,263
1,해적: 바다로 간 산적,230
2,수상한 그녀,223
3,국제시장,150
4,군도: 민란의 시대,199
5,타짜-신의 손,265
6,역린,208
7,신의 한 수,82
8,끝까지 간다,81
9,표적,120
10,나의 사랑 나의 신부,79
11,남자가 사랑할 때,150
12,기술자들,169
13,제보자,201
14,피끓는 청춘,161
15,두근두근 내 인생,119
16,우아한 거짓말,107
17,해무(海霧),244
18,인간중독,207
19,찌라시: 위험한 소문,148
20,빅매치,171
21,슬로우 비디오,140
22,방황하는 칼날,110
23,우리는 형제입니다,53
24,카트,135
25,관능의 법칙,76
26,상의원,90
27,플랜맨,77
28,우는 남자,82
29,패션왕,98
30,황제를 위하여,55
31,몬스터,101
32,또 하나의 약속,134
33,소녀괴담,52
34,조선미녀삼총사,54
35,마담 뺑덕,47
36,좋은 친구들,91
37,나의 독재자,55
38,하이힐,110
39,레드카펫,104
40,덕수리 5형제,65
41,아빠를 빌려드립니다,54
42,가시,102
43,맨홀,30
44,터널 3D,0
45,설계,32
46,백프로,74
47,베테랑,120
48,암살,119
49,내부자들,84
50,사도,131
51,연평해전,86
52,검은 사제들,105
53,히말라야,111
54,조선명탐정 : 사라진 놉의 딸,66
55,스물,122
56,극비수사,75
57,탐정 : 더 비기닝,87
58,악의 연대기,72
59,강남 1970,89
60,뷰티 인사이드,48
61,오늘의 연애,127
62,쎄시봉,96
63,더 폰,51
64,대호,106
65,차이나타운,80
66,장수상회,105
67,성난 변호사,46
68,간신,113
69,그놈이다,68
70,미쓰 와이프,67
71,허삼관,97
72,살인의뢰,62
73,손님,120
74,열정같은소리하고있네,52
75,특종: 량첸살인기,67
76,서부전선,110
77,헬머니,55
78,위험한 상견례 2,57
79,순수의 시대,85
80,오피스,91
81,"협녀, 칼의 기억",58
82,무뢰한,67
83,내 심장을 쏴라,79
84,소수의견,127
85,경성학교: 사라진 소녀들,120
86,치외법권,68
87,극적인 하룻밤,30
88,도리화가,113
89,함정,62
90,조선마술사,111
91,연애의 맛,23
92,내부자들: 디 오리지널,117
93,은밀한 유혹,68
94,나의 절친 악당들,36
95,퇴마: 무녀굴,35
96,돌연변이,76
97,쓰리 썸머 나잇,67
98,미안해 사랑해 고마워,22
99,비밀,98
100,약장수,20
101,타투,9
102,검은손,14
103,부산행,135
104,검사외전,117
105,밀정,119
106,터널,132
107,인천상륙작전,118
108,럭키,107
109,곡성,133
110,덕혜옹주,130
111,마스터,117
112,판도라,125
113,아가씨,129
114,귀향,135
115,형,131
116,아수라,132
117,굿바이 싱글,37
118,봉이 김선달,60
119,탐정 홍길동: 사라진 마을,60
120,특별수사: 사형수의 편지,122
121,시간이탈자,73
122,동주,128
123,미씽: 사라진 여자,102
124,"당신, 거기 있어줄래요",95
125,오빠생각,93
126,"날, 보러와요",55
127,"고산자, 대동여지도",76
128,좋아해줘,71
129,스플릿,76
130,국가대표 2,70
131,그날의 분위기,49
132,사냥,95
133,널 기다리며,50
134,가려진 시간,78
135,해어화,91
136,계춘할망,49
137,"로봇, 소리",65
138,위대한 소원,48
139,혼숨,32
140,비밀은 없다,58
141,순정,130
142,남과 여,82
143,대배우,53
144,무서운 이야기 3 : 화성에서 온 소녀,28
145,걷기왕,87
146,엽기적인 그녀 2,25
147,번개맨,44
148,올레,88
149,두 남자,113
150,목숨 건 연애,47
151,트릭,72
152,대결,57
153,인천상륙작전 : 익스텐디드 에디션(확장판),84
154,히야,101
155,무수단,30
156,택시운전사,136
157,신과함께-죄와 벌,113
158,공조,123
159,범죄도시,43
160,군함도,127
161,청년경찰,104
162,더 킹,96
163,꾼,101
164,강철비,91
165,남한산성,138
166,아이 캔 스피크,74
167,프리즌,120
168,살인자의 기억법,142
169,보안관,107
170,조작된 도시,80
171,재심,87
172,박열,127
173,1987,135
174,노무현입니다,133
175,임금님의 사건수첩,49
176,부라더,56
177,기억의 밤,98
178,브이아이피,82
179,특별시민,85
180,장산범,111
181,악녀,99
182,해빙,92
183,하루,131
184,불한당: 나쁜 놈들의 세상,130
185,대립군,128
186,아빠는 딸,53
187,침묵,110
188,리얼,113
189,반드시 잡는다,32
190,원라인,102
191,보통사람,77
192,대장 김창수,84
193,석조저택 살인사건,29
194,싱글라이더,82
195,7호실,108
196,희생부활자,51
197,미옥,71
198,어느날,91
199,채비,37
200,비정규직 특수요원,45
201,로마의 휴일,45
202,시간위의 집,79
203,루시드 드림,55
204,"그래, 가족",67
205,역모-반란의 시대,46
206,이웃집 스타,27
207,구세주: 리턴즈,13
208,신과함께-인과 연,136
209,안시성,134
210,완벽한 타인,83
211,독전,138
212,공작,128
213,암수살인,107
214,마녀,107
215,탐정: 리턴즈,62
216,너의 결혼식,91
217,곤지암,112
218,지금 만나러 갑니다,98
219,목격자,115
220,조선명탐정: 흡혈괴마의 비밀,90
221,국가부도의 날,129
222,명당,145
223,협상,105
224,창궐,125
225,성난황소,56
226,리틀 포레스트,105
227,골든슬럼버,112
228,궁합,116
229,사라진 밤,110
230,바람 바람 바람,124
231,챔피언,76
232,염력,126
233,인랑,136
234,레슬러,97
235,상류사회,80
236,물괴,125
237,미쓰백,114
238,버닝,122
239,7년의 밤,94
240,변산,78
241,동네사람들,40
242,원더풀 고스트,21
243,흥부: 글로 세상을 바꾼 자,63
244,도어락,118
245,허스토리,75
246,덕구,31
247,번 더 스테이지: 더 무비,52
248,치즈인더트랩,116
249,속닥속닥,56
250,나를 기억해,42
251,독전: 익스텐디드 컷,108
252,게이트,27
253,여중생A,0
254,여곡성,76
255,번개맨과 신비의 섬,0
256,머니백,24
257,데자뷰,44
258,비밥바룰라,25
259,배반의 장미,38
260,해피 투게더,15
261,번개맨의 비밀,0
