,Date,Frequency,Movie
0,2014-07-23,37,명량
1,2014-07-24,39,명량
2,2014-07-25,38,명량
3,2014-07-26,39,명량
4,2014-07-27,36,명량
5,2014-07-28,37,명량
6,2014-07-29,37,명량
7,2014-07-30,33,해적
8,2014-07-31,35,해적
9,2014-08-01,34,해적
10,2014-08-02,22,해적
11,2014-08-03,26,해적
12,2014-08-04,39,해적
13,2014-08-05,41,해적
14,2014-01-15,22,수상한 그녀
15,2014-01-16,31,수상한 그녀
16,2014-01-17,30,수상한 그녀
17,2014-01-18,29,수상한 그녀
18,2014-01-19,35,수상한 그녀
19,2014-01-20,37,수상한 그녀
20,2014-01-21,39,수상한 그녀
21,2014-12-10,32,국제시장
22,2014-12-11,17,국제시장
23,2014-12-12,12,국제시장
24,2014-12-13,16,국제시장
25,2014-12-14,9,국제시장
26,2014-12-15,37,국제시장
27,2014-12-16,27,국제시장
28,2014-07-16,23,군도
29,2014-07-17,37,군도
30,2014-07-18,27,군도
31,2014-07-19,21,군도
32,2014-07-20,22,군도
33,2014-07-21,31,군도
34,2014-07-22,38,군도
35,2014-08-27,56,타짜
36,2014-08-28,43,타짜
37,2014-08-29,42,타짜
38,2014-08-30,54,타짜
39,2014-08-31,15,타짜
40,2014-09-01,22,타짜
41,2014-09-02,33,타짜
42,2014-04-23,23,역린
43,2014-04-24,26,역린
44,2014-04-25,36,역린
45,2014-04-26,43,역린
46,2014-04-27,30,역린
47,2014-04-28,33,역린
48,2014-04-29,17,역린
49,2014-06-26,4,신의 한 수
50,2014-06-27,16,신의 한 수
51,2014-06-28,10,신의 한 수
52,2014-06-29,4,신의 한 수
53,2014-06-30,9,신의 한 수
54,2014-07-01,16,신의 한 수
55,2014-07-02,23,신의 한 수
56,2014-05-22,15,끝까지 간다
57,2014-05-23,6,끝까지 간다
58,2014-05-24,3,끝까지 간다
59,2014-05-25,6,끝까지 간다
60,2014-05-26,24,끝까지 간다
61,2014-05-27,21,끝까지 간다
62,2014-05-28,6,끝까지 간다
63,2014-04-23,17,표적
64,2014-04-24,21,표적
65,2014-04-25,20,표적
66,2014-04-26,13,표적
67,2014-04-27,11,표적
68,2014-04-28,10,표적
69,2014-04-29,28,표적
70,2014-10-01,17,나의 사랑 나의 신부
71,2014-10-02,10,나의 사랑 나의 신부
72,2014-10-03,10,나의 사랑 나의 신부
73,2014-10-04,4,나의 사랑 나의 신부
74,2014-10-05,2,나의 사랑 나의 신부
75,2014-10-06,21,나의 사랑 나의 신부
76,2014-10-07,15,나의 사랑 나의 신부
77,2014-01-15,20,남자가 사랑할 때
78,2014-01-16,25,남자가 사랑할 때
79,2014-01-17,29,남자가 사랑할 때
80,2014-01-18,16,남자가 사랑할 때
81,2014-01-19,9,남자가 사랑할 때
82,2014-01-20,23,남자가 사랑할 때
83,2014-01-21,28,남자가 사랑할 때
84,2014-12-17,32,기술자들
85,2014-12-18,28,기술자들
86,2014-12-19,18,기술자들
87,2014-12-20,13,기술자들
88,2014-12-21,12,기술자들
89,2014-12-22,34,기술자들
90,2014-12-23,32,기술자들
91,2014-09-25,28,제보자
92,2014-09-26,23,제보자
93,2014-09-27,36,제보자
94,2014-09-28,22,제보자
95,2014-09-29,37,제보자
96,2014-09-30,31,제보자
97,2014-10-01,24,제보자
98,2014-01-15,25,피끓는 청춘
99,2014-01-16,27,피끓는 청춘
100,2014-01-17,26,피끓는 청춘
101,2014-01-18,12,피끓는 청춘
102,2014-01-19,14,피끓는 청춘
103,2014-01-20,28,피끓는 청춘
104,2014-01-21,29,피끓는 청춘
105,2014-08-27,24,두근두근 내 인생
106,2014-08-28,14,두근두근 내 인생
107,2014-08-29,14,두근두근 내 인생
108,2014-08-30,12,두근두근 내 인생
109,2014-08-31,11,두근두근 내 인생
110,2014-09-01,22,두근두근 내 인생
111,2014-09-02,22,두근두근 내 인생
112,2014-03-06,23,우아한 거짓말
113,2014-03-07,13,우아한 거짓말
114,2014-03-08,7,우아한 거짓말
115,2014-03-09,11,우아한 거짓말
116,2014-03-10,16,우아한 거짓말
117,2014-03-11,14,우아한 거짓말
118,2014-03-12,23,우아한 거짓말
119,2014-08-06,33,해무
120,2014-08-07,32,해무
121,2014-08-08,34,해무
122,2014-08-09,27,해무
123,2014-08-10,39,해무
124,2014-08-11,36,해무
125,2014-08-12,43,해무
126,2014-05-07,36,인간중독
127,2014-05-08,37,인간중독
128,2014-05-09,31,인간중독
129,2014-05-10,29,인간중독
130,2014-05-11,20,인간중독
131,2014-05-12,39,인간중독
132,2014-05-13,15,인간중독
133,2014-02-13,6,찌라시
134,2014-02-14,30,찌라시
135,2014-02-15,24,찌라시
136,2014-02-16,23,찌라시
137,2014-02-17,19,찌라시
138,2014-02-18,20,찌라시
139,2014-02-19,26,찌라시
140,2014-11-20,35,빅매치
141,2014-11-21,9,빅매치
142,2014-11-22,20,빅매치
143,2014-11-23,13,빅매치
144,2014-11-24,30,빅매치
145,2014-11-25,25,빅매치
146,2014-11-26,39,빅매치
147,2014-09-25,25,슬로우 비디오
148,2014-09-26,14,슬로우 비디오
