Movie,Frequency
타짜,265
명량,263
신과함께,249
독전,246
해무,244
해적,230
수상한 그녀,223
역린,208
인간중독,207
인천상륙작전,202
내부자들,201
제보자,201
군도,199
빅매치,171
기술자들,169
피끓는 청춘,161
조선명탐정,156
국제시장,150
남자가 사랑할 때,150
탐정,149
찌라시,148
명당,145
살인자의 기억법,142
슬로우 비디오,140
남한산성,138
인랑,136
택시운전사,136
귀향,135
부산행,135
카트,135
1987,135
또 하나의 약속,134
안시성,134
곡성,133
노무현입니다,133
터널,132
아수라,132
사도,131
형,131
하루,131
덕혜옹주,130
순정,130
불한당,130
국가부도의 날,129
아가씨,129
공작,128
동주,128
대립군,128
오늘의 연애,127
소수의견,127
군함도,127
박열,127
염력,126
판도라,125
창궐,125
물괴,125
바람 바람 바람,124
공조,123
특별수사,122
스물,122
버닝,122
베테랑,120
표적,120
경성학교,120
프리즌,120
손님,120
두근두근 내 인생,119
밀정,119
암살,119
도어락,118
검사외전,117
마스터,117
궁합,116
치즈인더트랩,116
목격자,115
미쓰백,114
리얼,113
간신,113
도리화가,113
두 남자,113
곤지암,112
골든슬럼버,112
히말라야,111
장산범,111
조선마술사,111
서부전선,110
침묵,110
하이힐,110
방황하는 칼날,110
사라진 밤,110
7호실,108
암수살인,107
우아한 거짓말,107
보안관,107
마녀,107
럭키,107
대호,106
검은 사제들,105
협상,105
장수상회,105
리틀 포레스트,105
레드카펫,104
청년경찰,104
가시,102
미씽,102
원라인,102
히야,101
꾼,101
몬스터,101
악녀,99
기억의 밤,98
비밀,98
지금 만나러 갑니다,98
패션왕,98
허삼관,97
레슬러,97
더 킹,96
쎄시봉,96
사냥,95
"당신, 거기 있어줄래요",95
7년의 밤,94
오빠생각,93
해빙,92
해어화,91
좋은 친구들,91
어느날,91
너의 결혼식,91
오피스,91
강철비,91
상의원,90
강남 1970,89
올레,88
재심,87
걷기왕,87
연평해전,86
순수의 시대,85
특별시민,85
대장 김창수,84
완벽한 타인,83
남과 여,82
브이아이피,82
싱글라이더,82
신의 한 수,82
우는 남자,82
끝까지 간다,81
상류사회,80
조작된 도시,80
차이나타운,80
나의 사랑 나의 신부,79
내 심장을 쏴라,79
시간위의 집,79
변산,78
가려진 시간,78
보통사람,77
플랜맨,77
스플릿,76
여곡성,76
챔피언,76
"고산자, 대동여지도",76
관능의 법칙,76
돌연변이,76
허스토리,75
극비수사,75
백프로,74
아이 캔 스피크,74
시간이탈자,73
악의 연대기,72
트릭,72
미옥,71
좋아해줘,71
국가대표 2,70
치외법권,68
은밀한 유혹,68
그놈이다,68
특종,67
"그래, 가족",67
쓰리 썸머 나잇,67
미쓰 와이프,67
무뢰한,67
덕수리 5형제,65
"로봇, 소리",65
흥부,63
함정,62
살인의뢰,62
봉이 김선달,60
탐정 홍길동,60
비밀은 없다,58
"협녀, 칼의 기억",58
대결,57
위험한 상견례 2,57
속닥속닥,56
성난황소,56
부라더,56
루시드 드림,55
황제를 위하여,55
나의 독재자,55
"날, 보러와요",55
헬머니,55
아빠를 빌려드립니다,54
조선미녀삼총사,54
아빠는 딸,53
우리는 형제입니다,53
대배우,53
번 더 스테이지,52
소녀괴담,52
열정같은소리하고있네,52
더 폰,51
희생부활자,51
널 기다리며,50
그날의 분위기,49
계춘할망,49
임금님의 사건수첩,49
위대한 소원,48
뷰티 인사이드,48
목숨 건 연애,47
마담 뺑덕,47
역모,46
성난 변호사,46
로마의 휴일,45
비정규직 특수요원,45
번개맨,44
데자뷰,44
범죄도시,43
나를 기억해,42
동네사람들,40
배반의 장미,38
채비,37
굿바이 싱글,37
나의 절친 악당들,36
퇴마,35
반드시 잡는다,32
설계,32
혼숨,32
덕구,31
극적인 하룻밤,30
무수단,30
맨홀,30
석조저택 살인사건,29
무서운 이야기 3,28
이웃집 스타,27
게이트,27
비밥바룰라,25
엽기적인 그녀 2,25
머니백,24
연애의 맛,23
미안해 사랑해 고마워,22
원더풀 고스트,21
약장수,20
해피 투게더,15
검은손,14
구세주,13
타투,9
번개맨의 비밀,0
터널 3D,0
여중생A,0
번개맨과 신비의 섬,0
