moviename,peopleCd,수상횟수,totalpeople
1987,60430322,40,22
7년의 밤,20079179,10,5
7호실,30250191,4,3
가려진 시간,30218325,5,8
간신,50213973,4,7
강철비,30189217,8,7
걷기왕,10040874,5,3
검사외전,20090848,21,14
검은 사제들,20005834,19,14
게이트,30212217,11,9
경성학교: 사라진 소녀들,40285710,25,7
"고산자, 대동여지도",10071140,3,1
곡성,80663407,28,14
곤지암,20301589,0,1
골든슬럼버,70421841,18,19
공작,50336970,24,18
공조,30148852,9,13
관능의 법칙,30139914,20,3
국가대표 2,10050151,7,14
국가부도의 날,50282890,19,9
국제시장,30117727,14,19
군도: 민란의 시대,20087811,23,16
군함도,60375277,32,16
굿바이 싱글,20027721,14,8
궁합,10040874,5,3
귀향,10004852,0,2
그날의 분위기,30138801,2,2
그놈이다,10054128,7,10
"그래, 가족",40307853,3,6
극비수사,20059404,21,17
극적인 하룻밤,30112437,1,5
기술자들,40239471,3,5
기억의 밤,30115787,2,3
꾼,40253939,1,9
끝까지 간다,10067353,6,5
나를 기억해,10006545,2,1
나의 독재자,20065246,29,8
나의 사랑 나의 신부,20121022,1,1
나의 절친 악당들,10019067,4,1
"날, 보러와요",20134082,0,4
남과 여,10001901,1,2
남자가 사랑할 때,10090290,16,7
남한산성,40119971,49,17
내 심장을 쏴라,20105237,4,2
내부자들,30152357,35,15
내부자들: 디 오리지널,30152357,35,15
너의 결혼식,10028667,11,2
널 기다리며,40207261,5,8
"당신, 거기 있어줄래요",30152386,17,8
대립군,30111204,13,9
대배우,30159399,18,25
대장 김창수,10067353,6,5
대호,10072251,20,2
더 킹,70478626,18,15
더 폰,50294673,8,8
덕구,20235446,0,1
덕혜옹주,20066357,26,6
도리화가,10019065,6,4
도어락,30116760,0,3
독전,70448046,12,12
독전: 익스텐디드 컷,70448046,12,12
돌연변이,10028667,11,2
동네사람들,20025793,7,6
동주,60430267,7,4
두 남자,10021341,1,5
두근두근 내 인생,10000558,5,7
또 하나의 약속,30165690,14,12
럭키,60302518,11,13
레드카펫,10054204,1,1
레슬러,10054128,7,10
로마의 휴일,30159377,0,3
"로봇, 소리",60399088,8,12
루시드 드림,10035772,22,5
리얼,50271774,5,10
리틀 포레스트,50436384,24,5
마녀,40270188,10,4
마담 뺑덕,10062025,4,4
마스터,70394986,42,34
맨홀,20066523,12,3
머니백,50197891,17,14
명당,70402867,20,14
명량,30158669,32,11
목격자,40184989,3,9
목숨 건 연애,10087280,9,1
몬스터,20059481,1,3
무뢰한,20032561,0,5
무서운 이야기 3 : 화성에서 온 소녀,20110693,5,1
물괴,30180173,5,5
미쓰 와이프,10047352,6,1
미쓰백,20146071,4,2
미씽: 사라진 여자,10047357,6,2
미안해 사랑해 고마워,20127194,5,1
미옥,10006380,13,3
밀정,20038919,30,13
바람 바람 바람,50313848,4,5
박열,20207886,0,2
반드시 잡는다,20066183,6,9
방황하는 칼날,30172332,12,4
배반의 장미,30162872,1,4
백프로,50262026,15,12
버닝,10053802,4,3
범죄도시,20075545,2,6
베테랑,40248371,34,34
변산,20110693,5,1
보안관,50304695,12,8
보통사람,20111125,1,2
봉이 김선달,20015605,6,7
부라더,30207436,1,9
부산행,90462753,22,22
불한당: 나쁜 놈들의 세상,30206994,24,6
뷰티 인사이드,221282137,30,27
브이아이피,40217621,10,3
비밀,20041083,1,7
비밀은 없다,20042632,21,5
비밥바룰라,10029093,0,1
