,directors,peopleCd,role,movie,totalpeople
0,김한민,10006204,감독,"명량: 회오리 바다를 향하여(Roaring Currents: The Road of the Admiral)
",8897
1,김한민,10006204,감독,"명량(Roaring Currents)
",17613682
2,김한민,10006204,감독,"최종병기 활 감독확장판(War of the Arrows (Director's Cut))
",11547
3,김한민,10006204,감독,"최종병기 활(War of the Arrows)
",7470633
4,김한민,10006204,감독,"핸드폰(Handphone)
",630049
5,김한민,10006204,감독,"극락도 살인사건(Paradise Murdered)
",2259511
6,김한민,10006204,감독,"그렇게 김순임은 강두식을 만났다(Sunflower Blues)
",-1
7,이석훈,10055965,감독,"히말라야(The Himalayas)
",7759473
8,이석훈,10055965,감독,"해적: 바다로 간 산적(The Pirates)
",8666046
9,이석훈,10055965,감독,"댄싱퀸(Dancing Queen)
",4057546
10,이석훈,10055965,감독,"두 얼굴의 여친(Two Faces Of My Girlfriend)
",762112
11,이석훈,10055965,감독,"방과후 옥상(See You After School)
",891417
12,이석훈,10055965,감독,"순간접착제(Super Glue)
",-1
13,이석훈,10055965,감독,"포 더 피스 오브 올 맨카인드(For The Peace Of All Mankind)
",-1
14,황동혁,10090050,감독,"남한산성(The Fortress)
",3849087
15,황동혁,10090050,감독,"수상한 그녀(Miss Granny)
",8656397
16,황동혁,10090050,감독,"도가니(Silenced)
",4662822
17,황동혁,10090050,감독,"마이 파더(My Father)
",902090
18,황동혁,10090050,감독,"기적의 도로(Miracle Mile)
",-1
19,윤제균,10054492,감독,"국제시장(Ode to My Father)
",14257115
20,윤제균,10054492,감독,템플 스테이,-1
21,윤제균,10054492,감독,"해운대(Haeundae)
",11453338
22,윤제균,10054492,감독,"1번가의 기적(Miracle on 1st Street)
",2750457
23,윤제균,10054492,감독,"낭만자객(Crazy Assassins)
",940134
24,윤제균,10054492,감독,"색즉시공(Sex Is Zero)
",4082797
25,윤제균,10054492,감독,"두사부일체(My Boss, My Hero)
",-1
26,윤종빈,10054495,감독,"공작(The Spy Gone North)
",4974512
27,윤종빈,10054495,감독,"군도: 민란의 시대(KUNDO : Age of the Rampant)
",4774895
28,윤종빈,10054495,감독,"범죄와의 전쟁: 나쁜놈들 전성시대(Nameless Gangster : Rules of the Time)
",4719872
29,윤종빈,10054495,감독,"비스티 보이즈(Beastie Boys)
",727409
30,윤종빈,10054495,감독,"용서받지 못한 자(The Unforgiven)
",10647
31,강형철,10000946,감독,"스윙키즈(Swing Kids)
",494
32,강형철,10000946,감독,"타짜-신의 손(Tazza-The Hidden Card)
",4015361
33,강형철,10000946,감독,"써니 감독판(Sunny - Director's Cut)
",90562
34,강형철,10000946,감독,"써니(Sunny)
",7362467
35,강형철,10000946,감독,"과속스캔들(Scandal Makers)
",8245523
36,이재규,20111735,감독,"완벽한 타인(Intimate Strangers)
",5056102
37,이재규,20111735,감독,"역린(The Fatal Encounter)
",3849433
