directors,movieNm,peopleCd,prizecount
김한민,명량,10006204,28
이석훈,해적: 바다로 간 산적,10055965,9
황동혁,수상한 그녀,10090050,27
윤제균,국제시장,10054492,37
윤종빈,군도: 민란의 시대,10054495,24
강형철,타짜-신의 손,10000946,16
이재규,역린,20111735,0
조범구,신의 한 수,10065847,0
김성훈,끝까지 간다,10004662,12
창,표적,10071587,1
임찬상,나의 사랑 나의 신부,10058842,1
한동욱,남자가 사랑할 때,20140752,0
김홍선,기술자들,20125826,1
임순례,제보자,10058650,15
이연우,피끓는 청춘,10056625,1
이재용,두근두근 내 인생,10057210,7
이한,우아한 거짓말,10058005,3
심성보,해무(海霧),10040850,9
김대우,인간중독,10003851,18
김광식,찌라시: 위험한 소문,10003620,2
최호,빅매치,10072907,10
김영탁,슬로우 비디오,10005032,2
이정호,방황하는 칼날,10057331,3
장진,우리는 형제입니다,10060535,10
부지영,카트,10031684,5
권칠인,관능의 법칙,10002537,4
이원석,상의원,20128390,3
성시흡,플랜맨,20114191,0
이정범,우는 남자,10057273,19
오기환,패션왕,10050086,1
박상준,황제를 위하여,20113801,0
황인호,몬스터,10090261,0
김태윤,또 하나의 약속,10006129,0
오인천,소녀괴담,20188088,2
박제현,조선미녀삼총사,10029209,1
임필성,마담 뺑덕,10058886,1
이도윤,좋은 친구들,20142138,0
이해준,나의 독재자,10058053,10
장진,하이힐,10060535,10
박범수,레드카펫,10028647,0
전형준,덕수리 5형제,10061527,0
김덕수,아빠를 빌려드립니다,10003883,0
김태균,가시,10006085,9
신재영,맨홀,20153417,0
박규택,터널 3D,20150634,0
박창진,설계,20179021,0
김명균,백프로,10004056,0
류승완,베테랑,10019069,47
최동훈,암살,10072187,40
우민호,내부자들,20111283,16
이준익,사도,10057485,97
김학순,연평해전,10006188,9
장재현,검은 사제들,10060462,10
이석훈,히말라야,10055965,9
김석윤,조선명탐정 : 사라진 놉의 딸,10004484,1
이병헌,스물,20125862,2
곽경택,극비수사,10001931,15
김정훈,탐정 : 더 비기닝,10005643,2
백운학,악의 연대기,10030346,1
유하,강남 1970,20111250,15
백,뷰티 인사이드,20144080,0
박진표,오늘의 연애,10029363,19
김현석,쎄시봉,10006261,25
김봉주,더 폰,20128476,2
박훈정,대호,10029578,11
한준희,차이나타운,20183664,6
강제규,장수상회,10000854,30
허종호,성난 변호사,10088447,2
민규동,간신,10027774,8
윤준형,그놈이다,10054518,0
강효진,미쓰 와이프,10000970,0
하정우,허삼관,10087253,18
손용호,살인의뢰,20188569,0
김광태,손님,20147149,0
정기훈,열정같은소리하고있네,10061628,3
노덕,특종: 량첸살인기,10015745,3
천성일,서부전선,10071866,0
신한솔,헬머니,10040668,0
김진영,위험한 상견례 2,10005932,0
안상훈,순수의 시대,20111254,2
홍원찬,오피스,10089708,3
박흥식,"협녀, 칼의 기억",20110989,7
오승욱,무뢰한,10050533,8
문제용,내 심장을 쏴라,10026804,0
김성제,소수의견,10004620,7
이해영,경성학교: 사라진 소녀들,10058049,13
신동엽,치외법권,20111176,0
하기호,극적인 하룻밤,10086669,0
이종필,도리화가,10057407,0
권형진,함정,10002567,0
김대승,조선마술사,10003845,11
김아론,연애의 맛,10004879,0
우민호,내부자들: 디 오리지널,20111283,16
윤재구,은밀한 유혹,10054464,0
임상수,나의 절친 악당들,10058591,25
김휘,퇴마: 무녀굴,10003489,5
권오광,돌연변이,10002458,0
김상진,쓰리 썸머 나잇,10004438,8
전윤수,미안해 사랑해 고마워,10061405,1
박은경,비밀,20066038,0
조치언,약장수,20138384,1
이서,타투,10055931,1
박재식,검은손,10029120,0
연상호,부산행,10049814,21
이일형,검사외전,10057103,0
김지운,밀정,10005852,37
김성훈,터널,10087253,18
이재한,인천상륙작전,10057235,8
이계벽,럭키,10054784,1
나홍진,곡성,10007437,52
허진호,덕혜옹주,10088463,25
조의석,마스터,10066810,3
박정우,판도라,10029181,4
박찬욱,아가씨,10029381,91
조정래,귀향,10066934,7
권수경,형,10002413,2
김성수,아수라,10004596,15
김태곤,굿바이 싱글,10006078,2
박대민,봉이 김선달,10028545,3
조성희,탐정 홍길동: 사라진 마을,10065952,6
권종관,특별수사: 사형수의 편지,10002517,0
곽재용,시간이탈자,10002002,8
이준익,동주,10057485,97
이언희,미씽: 사라진 여자,10056602,4
홍지영,"당신, 거기 있어줄래요",10089855,2
이한,오빠생각,10058005,3
이철하,"날, 보러와요",10057717,0
강우석,"고산자, 대동여지도",10000783,44
박현진,좋아해줘,20110969,1
최국희,스플릿,10072117,0
김종현,국가대표 2,10005717,0
조규장,그날의 분위기,10065265,0
이우철,사냥,10056854,0
모홍진,널 기다리며,10026501,1
엄태화,가려진 시간,10047368,3
박흥식,해어화,20110989,7
창,계춘할망,10071587,1
이호재,"로봇, 소리",10058219,4
남대중,위대한 소원,20209287,0
이두환,혼숨,20246149,0
이경미,비밀은 없다,10054739,16
이은희,순정,20140739,0
이윤기,남과 여,10056949,8
석민우,대배우,20122507,1
백승빈,무서운 이야기 3 : 화성에서 온 소녀,20080184,0
백승화,걷기왕,10030331,1
조근식,엽기적인 그녀 2,10065271,3
조근현,번개맨,10065272,9
채두병,올레,20211226,1
이성태,두 남자,20244789,0
송민규,목숨 건 연애,10037076,0
이창열,트릭,20225826,0
신동엽,대결,20111176,0
이재한,인천상륙작전 : 익스텐디드 에디션(확장판),10057235,8
김지연,히야,20140497,1
구모,무수단,10002140,0
장훈,택시운전사,10060674,45
김용화,신과함께-죄와 벌,10005151,38
김성훈,공조,20128773,3
강윤성,범죄도시,20135271,6
