,영화명,개봉일,매출액,관객수,스크린수,상영횟수,배급사,영화코드,장르,감독,기사수,배우,관객평점,링크,감독수상,감독파워
0,명량,20140730,135748398910,17613682,1587,188611,씨제이이앤엠(주),20129370,사극,김한민,56134,최민식|류승룡|조진웅|,8.46,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93756,28,2
1,해적: 바다로 간 산적,20140806,66370682706,8666046,910,133350,롯데쇼핑㈜롯데엔터테인먼트,20136064,어드벤처,이석훈,22656,김남길|손예진|,8.27,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102817,9,4
2,수상한 그녀,20140122,62705348249,8657982,1027,136975,씨제이이앤엠(주),20131102,드라마,황동혁,61925,심은경|나문희|박인환|성동일|이진욱|,9.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107924,27,2
3,국제시장,20141217,41089567596,5345677,966,63603,씨제이이앤엠(주),20137048,드라마,윤제균,53038,황정민|김윤진|오달수|정진영|,9.01,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102875,37,2
4,군도: 민란의 시대,20140723,36988022499,4774931,1394,67237,(주)쇼박스,20123501,사극,윤종빈,21502,하정우|강동원|,6.92,https://movie.naver.com/movie/bi/mi/basic.nhn?code=99752,24,0
5,타짜-신의 손,20140903,32373120927,4015361,890,80584,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",20134804,드라마,강형철,19273,T.O.P|신세경|곽도원|이하늬|,7.26,https://movie.naver.com/movie/bi/mi/basic.nhn?code=67769,16,2
6,역린,20140430,29894266890,3849552,1054,83296,롯데쇼핑㈜롯데엔터테인먼트,20139183,사극,이재규,17528,현빈|정재영|조정석|조재현|한지민|,7.06,https://movie.naver.com/movie/bi/mi/basic.nhn?code=108225,0,2
7,신의 한 수,20140703,28812027456,3566852,794,77109,(주)쇼박스,20139201,범죄,조범구,190686,정우성|이범수|안성기|김인권|이시영|,8.03,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107373,0,0
8,끝까지 간다,20140529,27007303900,3450305,645,84875,(주)쇼박스,20130442,액션,김성훈,41217,이선균|조진웅|,9.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109778,12,1
9,표적,20140430,22256769300,2841828,716,72255,씨제이이앤엠(주),20139164,액션,창,23813,류승룡|유준상|이진욱|김성령|조여정|조은지|,7.49,https://movie.naver.com/movie/bi/mi/basic.nhn?code=106547,1,0
10,나의 사랑 나의 신부,20141008,16636404305,2141155,629,69681,씨네그루(주)다우기술,20147930,멜로/로맨스,임찬상,13586,조정석|신민아|,8.01,https://movie.naver.com/movie/bi/mi/basic.nhn?code=113312,1,0
11,남자가 사랑할 때,20140122,14510222300,1979311,531,41123,(주)넥스트엔터테인먼트월드(NEW),20137043,멜로/로맨스,한동욱,9097,황정민|한혜진|,8.65,https://movie.naver.com/movie/bi/mi/basic.nhn?code=106540,0,0
12,기술자들,20141224,13652480148,1778083,641,24416,롯데쇼핑㈜롯데엔터테인먼트,20149265,범죄,김홍선,21944,김우빈|김영철|고창석|이현우|조윤희|임주환|,7.1,https://movie.naver.com/movie/bi/mi/basic.nhn?code=117790,1,0
13,제보자,20141002,13515762802,1755181,676,58358,메가박스중앙(주)플러스엠,20134589,드라마,임순례,13903,박해일|유연석|이경영|,8.32,https://movie.naver.com/movie/bi/mi/basic.nhn?code=128235,15,0
14,피끓는 청춘,20140122,11688382888,1676040,679,36082,롯데쇼핑㈜롯데엔터테인먼트,20139881,코미디,이연우,6921,박보영|이종석|이세영|김영광|,7.61,https://movie.naver.com/movie/bi/mi/basic.nhn?code=105521,1,0
15,두근두근 내 인생,20140903,12291081634,1624601,629,40158,씨제이이앤엠(주),20134594,드라마,이재용,11258,강동원|송혜교|조성목|,7.06,https://movie.naver.com/movie/bi/mi/basic.nhn?code=116532,7,0
16,우아한 거짓말,20140313,11728460300,1619188,573,57492,CGV아트하우스,20138226,드라마,이한,14524,김희애|고아성|김유정|김향기|,8.36,https://movie.naver.com/movie/bi/mi/basic.nhn?code=106522,3,2
17,해무(海霧),20140813,11706782519,1475507,584,33490,(주)넥스트엔터테인먼트월드(NEW),20134082,드라마,심성보,157,김윤석|박유천|한예리|이희준|문성근|김상호|유승목|,6.84,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109753,9,0
18,인간중독,20140514,11284912400,1441973,682,44057,(주)넥스트엔터테인먼트월드(NEW),20133322,멜로/로맨스,김대우,25409,송승헌|임지연|조여정|온주완|,6.69,https://movie.naver.com/movie/bi/mi/basic.nhn?code=113353,18,0
19,찌라시: 위험한 소문,20140220,9111748087,1221427,560,37426,씨제이이앤엠(주),20139401,범죄,김광식,3938,김강우|정진영|고창석|박성웅|,7.51,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107923,2,2
20,빅매치,20141127,8952096578,1177438,627,38527,(주)넥스트엔터테인먼트월드(NEW),20134590,액션,최호,10132,이정재|신하균|이성민|보아|,6.66,https://movie.naver.com/movie/bi/mi/basic.nhn?code=112079,10,0
21,슬로우 비디오,20141002,8913092219,1169562,618,40665,이십세기폭스코리아(주),20135386,드라마,김영탁,5936,차태현|남상미|,7.76,https://movie.naver.com/movie/bi/mi/basic.nhn?code=113342,2,0
22,방황하는 칼날,20140410,7828891800,989906,594,38850,씨제이이앤엠(주),20129787,범죄,이정호,4496,정재영|이성민|,7.71,https://movie.naver.com/movie/bi/mi/basic.nhn?code=99797,3,0
23,우리는 형제입니다,20141023,7263255399,970373,566,41638,(주)쇼박스,20148842,코미디,장진,10506,조진웅|김성균|김영애|윤진이|,7.2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=121090,10,0
24,카트,20141113,5912676633,812490,544,28547,(주)리틀빅픽쳐스,20136802,드라마,부지영,18289,염정아|문정희|김영애|김강우|,8.62,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118922,5,0
25,관능의 법칙,20140213,5858771500,781516,591,30630,롯데쇼핑㈜롯데엔터테인먼트,20130561,드라마,권칠인,7556,엄정화|문소리|조민수|,7.64,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109116,4,0
26,상의원,20141224,5293724564,676632,466,13809,"(주)쇼박스,(주)와우픽쳐스",20147176,사극,이원석,13202,한석규|고수|박신혜|유연석|마동석|,7.82,https://movie.naver.com/movie/bi/mi/basic.nhn?code=117774,3,0
27,플랜맨,20140109,4528561558,632299,458,20459,롯데쇼핑㈜롯데엔터테인먼트,20138224,드라마,성시흡,4349,정재영|한지민|,8.15,https://movie.naver.com/movie/bi/mi/basic.nhn?code=103759,0,0
28,우는 남자,20140604,4924852800,603495,508,22322,씨제이이앤엠(주),20132482,액션,이정범,12694,장동건|김민희|,5.99,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107961,19,1
29,패션왕,20141106,4367545379,594871,523,25487,(주)넥스트엔터테인먼트월드(NEW),20147129,코미디,오기환,14115,주원|최진리|,5.26,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109937,1,0
30,황제를 위하여,20140611,4754501771,592435,423,26736,유나이티드픽처스(주),20134591,액션,박상준,5908,이민기|박성웅|이태임|,6.07,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118909,0,0
31,몬스터,20140313,4138207515,526557,527,25460,롯데쇼핑㈜롯데엔터테인먼트,20136060,스릴러,황인호,39560,이민기|김고은|김뢰하|,5.76,https://movie.naver.com/movie/bi/mi/basic.nhn?code=104467,0,0
32,또 하나의 약속,20140206,3533799400,497613,192,14847,(주)오에이엘,20122787,드라마,김태윤,23347,박철민|윤유선|김규리|박희정|유세형|이경영|,9.26,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100654,0,0
33,소녀괴담,20140702,3554806054,481696,455,19432,(주)리틀빅픽쳐스,20147931,미스터리,오인천,6683,강하늘|김소은|,5.47,https://movie.naver.com/movie/bi/mi/basic.nhn?code=120513,2,0
34,조선미녀삼총사,20140129,3471341321,480361,388,14031,(주)쇼박스,20126090,코미디,박제현,5580,하지원|강예원|가인|고창석|주상욱|,4.03,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93739,1,0
35,마담 뺑덕,20141002,3728980590,471172,536,21636,씨제이이앤엠(주),20136863,멜로/로맨스,임필성,12554,정우성|이솜|박소영|,6.66,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118974,1,0
36,좋은 친구들,20140710,3222101031,407228,371,17831,씨제이이앤엠(주),20148745,범죄,이도윤,9783,지성|주지훈|이광수|,7.78,https://movie.naver.com/movie/bi/mi/basic.nhn?code=116799,0,0
37,나의 독재자,20141030,2906674546,385932,654,24217,롯데쇼핑㈜롯데엔터테인먼트,20148626,드라마,이해준,9345,설경구|박해일|,7.44,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100828,10,0
38,하이힐,20140603,2750311500,341634,385,16750,롯데쇼핑㈜롯데엔터테인먼트,20136062,범죄,장진,15447,차승원|오정세|이솜|,7.75,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102818,10,0
