,영화명,개봉일,관객수,배급사,장르,기사수,감독수상,감독파워,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,상영등급,기대지수,비기대지수,holiday,season
0,명량,20140730,17613682,씨제이이앤엠(주),사극,56134,28,2,37.0,157,"22,500","1,159","6,147","682,701","1,202","6,258","705,070","1,300","6,699","867,437",15세 관람가,13639,1126,1,2
1,해적: 바다로 간 산적,20140806,8666046,롯데쇼핑㈜롯데엔터테인먼트,어드벤처,22656,9,4,27.0,167,"35,335",786,"3,970","273,445",795,"3,932","254,862",789,"3,947","297,432",12세 관람가,4941,1537,1,2
2,수상한 그녀,20140122,8657982,씨제이이앤엠(주),드라마,61925,27,2,19.0,149,"31,394",577,"2,672","142,843",588,"2,740","138,364",613,"2,909","175,833",15세 관람가,0,0,1,4
3,국제시장,20141217,5345677,씨제이이앤엠(주),드라마,53038,37,2,68.0,236,"33,048",931,"4,444","184,756",954,"4,491","198,552",966,"4,644","241,578",12세 관람가,12784,2052,0,4
4,군도: 민란의 시대,20140723,4774931,(주)쇼박스,사극,21502,24,0,44.0,72,"13,964","1,250","6,252","551,841","1,273","6,374","419,127","1,295","6,641","468,320",15세 관람가,14319,1262,1,2
5,타짜-신의 손,20140903,4015361,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",드라마,19273,16,2,28.0,84,"16,803",768,"3,208","201,749",789,"3,339","137,708",827,"3,572","186,192",청소년 관람불가,7157,3757,0,3
6,역린,20140430,3849552,롯데쇼핑㈜롯데엔터테인먼트,사극,17528,0,2,25.0,35,"6,366",947,"4,654","287,855",995,"4,828","359,186","1,020","4,982","256,994",15세 관람가,6255,810,0,1
7,신의 한 수,20140703,3566852,(주)쇼박스,범죄,190686,0,0,504.0,"1,320","73,945",664,"3,506","181,459",716,"3,733","201,477",794,"4,079","369,886",청소년 관람불가,2407,365,1,2
8,끝까지 간다,20140529,3450305,(주)쇼박스,액션,41217,12,1,107.0,300,"26,472",629,"3,216","79,698",625,"3,271","107,280",645,"3,430","222,279",15세 관람가,1320,229,0,1
9,표적,20140430,2841828,씨제이이앤엠(주),액션,23813,1,0,18.0,34,"7,010",576,"3,132","105,838",610,"3,110","154,618",639,"3,260","141,583",15세 관람가,1717,191,0,1
10,나의 사랑 나의 신부,20141008,2141155,씨네그루(주)다우기술,멜로/로맨스,13586,1,0,81.0,212,"12,831",577,"2,935","88,406",587,"3,120","201,045",610,"3,032","114,571",15세 관람가,8499,921,0,3
11,남자가 사랑할 때,20140122,1979311,(주)넥스트엔터테인먼트월드(NEW),멜로/로맨스,9097,0,0,11.0,29,"6,982",484,"2,212","98,730",497,"2,219","85,593",511,"2,268","98,632",15세 관람가,0,0,1,4
12,기술자들,20141224,1778083,롯데쇼핑㈜롯데엔터테인먼트,범죄,21944,1,0,477.0,"1,409","63,883",641,"3,226","274,404",614,"3,126","422,784",629,"3,082","168,545",15세 관람가,24306,2459,0,4
