,영화명,개봉일,관객수,배급사,장르,기사수,감독수상,감독파워,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,상영등급,기대지수,비기대지수,holiday,season
0,명량,20140730,17613682,씨제이이앤엠(주),사극,56134,28,2,37,157,22500,1159,6147,682701,1202,6258,705070,1300,6699,867437,15세 관람가,13639,1126,1,2
1,해적: 바다로 간 산적,20140806,8666046,롯데쇼핑㈜롯데엔터테인먼트,어드벤처,22656,9,4,27,167,35335,786,3970,273445,795,3932,254862,789,3947,297432,12세 관람가,4941,1537,1,2
2,수상한 그녀,20140122,8657982,씨제이이앤엠(주),드라마,61925,27,2,19,149,31394,577,2672,142843,588,2740,138364,613,2909,175833,15세 관람가,0,0,1,4
3,국제시장,20141217,5345677,씨제이이앤엠(주),드라마,53038,37,2,68,236,33048,931,4444,184756,954,4491,198552,966,4644,241578,12세 관람가,12784,2052,0,4
4,군도: 민란의 시대,20140723,4774931,(주)쇼박스,사극,21502,24,0,44,72,13964,1250,6252,551841,1273,6374,419127,1295,6641,468320,15세 관람가,14319,1262,1,2
5,타짜-신의 손,20140903,4015361,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",드라마,19273,16,2,28,84,16803,768,3208,201749,789,3339,137708,827,3572,186192,청소년 관람불가,7157,3757,0,3
6,역린,20140430,3849552,롯데쇼핑㈜롯데엔터테인먼트,사극,17528,0,2,25,35,6366,947,4654,287855,995,4828,359186,1020,4982,256994,15세 관람가,6255,810,0,1
7,신의 한 수,20140703,3566852,(주)쇼박스,범죄,190686,0,0,504,1320,73945,664,3506,181459,716,3733,201477,794,4079,369886,청소년 관람불가,2407,365,1,2
8,끝까지 간다,20140529,3450305,(주)쇼박스,액션,41217,12,1,107,300,26472,629,3216,79698,625,3271,107280,645,3430,222279,15세 관람가,1320,229,0,1
9,표적,20140430,2841828,씨제이이앤엠(주),액션,23813,1,0,18,34,7010,576,3132,105838,610,3110,154618,639,3260,141583,15세 관람가,1717,191,0,1
10,나의 사랑 나의 신부,20141008,2141155,씨네그루(주)다우기술,멜로/로맨스,13586,1,0,81,212,12831,577,2935,88406,587,3120,201045,610,3032,114571,15세 관람가,8499,921,0,3
11,남자가 사랑할 때,20140122,1979311,(주)넥스트엔터테인먼트월드(NEW),멜로/로맨스,9097,0,0,11,29,6982,484,2212,98730,497,2219,85593,511,2268,98632,15세 관람가,0,0,1,4
12,기술자들,20141224,1778083,롯데쇼핑㈜롯데엔터테인먼트,범죄,21944,1,0,477,1409,63883,641,3226,274404,614,3126,422784,629,3082,168545,15세 관람가,24306,2459,0,4
13,제보자,20141002,1755181,메가박스중앙(주)플러스엠,드라마,13903,15,0,25,104,21156,676,3511,107854,661,3520,214023,650,3339,188016,12세 관람가,3728,633,0,3
14,피끓는 청춘,20140122,1676040,롯데쇼핑㈜롯데엔터테인먼트,코미디,6921,1,0,22,43,8566,557,2641,157026,607,2789,135915,626,2921,134260,15세 관람가,0,0,1,4
15,두근두근 내 인생,20140903,1624601,씨제이이앤엠(주),드라마,11258,7,0,36,96,13610,612,2980,99364,605,2898,63160,629,2920,100128,12세 관람가,15718,3747,0,3
16,우아한 거짓말,20140313,1619188,CGV아트하우스,드라마,14524,3,2,62,149,15982,485,2313,54153,487,2436,77528,553,2809,187283,12세 관람가,163,13,0,1
17,해무(海霧),20140813,1475507,(주)넥스트엔터테인먼트월드(NEW),드라마,157,9,0,18,54,12091,580,3076,174827,584,3077,159769,548,2776,227378,청소년 관람불가,7489,1057,1,2
18,인간중독,20140514,1441973,(주)넥스트엔터테인먼트월드(NEW),멜로/로맨스,25409,18,0,10,18,4679,576,2742,89092,603,2777,107663,644,2935,126444,청소년 관람불가,5486,1115,0,1
19,찌라시: 위험한 소문,20140220,1221427,씨제이이앤엠(주),범죄,3938,2,2,9,26,4631,466,2193,91576,479,2280,98038,552,2468,173347,15세 관람가,0,0,1,4
20,빅매치,20141127,1177438,(주)넥스트엔터테인먼트월드(NEW),액션,10132,10,0,446,1132,60677,618,2898,75112,626,2998,96658,627,3103,165268,15세 관람가,4634,739,0,3
21,슬로우 비디오,20141002,1169562,이십세기폭스코리아(주),드라마,5936,2,0,17,67,11947,596,3171,98673,618,3433,222079,613,3412,182455,12세 관람가,8508,962,0,3
22,방황하는 칼날,20140410,989906,씨제이이앤엠(주),범죄,4496,3,0,12,43,7863,481,2217,66643,518,2396,84300,594,2741,157498,청소년 관람불가,1932,155,0,1
23,우리는 형제입니다,20141023,970373,(주)쇼박스,코미디,10506,10,0,69,119,4348,517,2569,62171,533,2706,75401,547,2936,141213,12세 관람가,5789,669,0,3
24,카트,20141113,812490,(주)리틀빅픽쳐스,드라마,18289,5,0,51,195,30423,533,2646,101033,544,2655,57791,539,2678,125500,12세 관람가,48999,3049,0,3
25,관능의 법칙,20140213,781516,롯데쇼핑㈜롯데엔터테인먼트,드라마,7556,4,0,22,103,21016,591,2748,58083,588,2785,76470,532,2420,106949,청소년 관람불가,0,0,1,4
26,상의원,20141224,676632,"(주)쇼박스,(주)와우픽쳐스",사극,13202,3,0,77,206,18634,466,2171,108567,454,2010,179740,453,1931,66867,15세 관람가,8746,1553,0,4
27,플랜맨,20140109,632299,롯데쇼핑㈜롯데엔터테인먼트,드라마,4349,0,0,46,83,16573,458,2024,54251,441,2029,56264,433,2006,111867,15세 관람가,0,0,1,4
28,우는 남자,20140604,603495,씨제이이앤엠(주),액션,12694,19,1,408,1128,47328,500,2497,121991,508,2451,67165,480,2119,93916,청소년 관람불가,2136,461,0,2
29,패션왕,20141106,594871,(주)넥스트엔터테인먼트월드(NEW),코미디,14115,1,0,12,17,3869,518,2327,48348,523,2361,53277,515,2314,128083,15세 관람가,39795,8414,0,3
30,황제를 위하여,20140611,592435,유나이티드픽처스(주),액션,5908,0,0,4,12,2847,366,1150,39397,381,2040,51779,402,2132,55598,청소년 관람불가,2734,323,0,2
31,몬스터,20140313,526557,롯데쇼핑㈜롯데엔터테인먼트,스릴러,39560,0,0,7,11,2366,469,2235,67380,489,2346,79801,527,2638,118950,청소년 관람불가,83,20,0,1
32,또 하나의 약속,20140206,497613,(주)오에이엘,드라마,23347,0,0,26,48,9266,159,653,27304,169,697,29139,192,804,55258,12세 관람가,0,0,1,4
33,소녀괴담,20140702,481696,(주)리틀빅픽쳐스,미스터리,6683,2,0,7,13,2168,325,920,24638,416,2105,50390,416,2127,68836,15세 관람가,3750,364,1,2
34,조선미녀삼총사,20140129,480361,(주)쇼박스,코미디,5580,1,0,19,37,6799,388,1963,60234,384,1717,73883,379,1535,91330,12세 관람가,0,0,1,4
35,마담 뺑덕,20141002,471172,씨제이이앤엠(주),멜로/로맨스,12554,1,0,21,49,8522,536,2681,67072,509,2510,87072,474,2253,67742,청소년 관람불가,7380,1585,0,3
36,좋은 친구들,20140710,407228,씨제이이앤엠(주),범죄,9783,0,0,336,1853,40584,348,1784,38128,354,1752,39276,370,1595,56050,청소년 관람불가,2153,268,1,2
37,나의 독재자,20141030,385932,롯데쇼핑㈜롯데엔터테인먼트,드라마,9345,10,0,474,1096,29256,637,2838,37015,654,2958,55203,630,2903,83246,15세 관람가,2953,761,0,3
38,하이힐,20140603,341634,롯데쇼핑㈜롯데엔터테인먼트,범죄,15447,10,0,27,36,6369,291,753,13936,385,1683,47669,374,1644,30549,청소년 관람불가,2252,305,0,2
