,영화명,개봉일,관객수,배급사,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,기대지수,비기대지수,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수,배급사크기
0,명량,20140730,17613682,씨제이이앤엠(주),사극,15세 관람가,56134,28,2,32,11,263,320,1,2,13639,1126,37.0,157.0,22500.0,1159,6147,682701,1202,6258,705070,1300,6699,867437,1220,6368,751736,big
1,해적: 바다로 간 산적,20140806,8666046,롯데쇼핑㈜롯데엔터테인먼트,어드벤처,12세 관람가,22656,9,4,19,4,230,289,1,2,4941,1537,27.0,167.0,35335.0,786,3970,273445,795,3932,254862,789,3947,297432,790,3949,275246,big
2,수상한 그녀,20140122,8657982,씨제이이앤엠(주),드라마,15세 관람가,61925,27,2,21,11,223,264,1,4,0,0,19.0,149.0,31394.0,577,2672,142843,588,2740,138364,613,2909,175833,592,2773,152346,big
3,국제시장,20141217,5345677,씨제이이앤엠(주),드라마,12세 관람가,53038,37,2,14,19,150,251,0,4,12784,2052,68.0,236.0,33048.0,931,4444,184756,954,4491,198552,966,4644,241578,950,4526,208295,big
4,군도: 민란의 시대,20140723,4774931,(주)쇼박스,사극,15세 관람가,21502,24,0,23,16,199,278,1,2,14319,1262,44.0,72.0,13964.0,1250,6252,551841,1273,6374,419127,1295,6641,468320,1272,6422,479762,big
5,타짜-신의 손,20140903,4015361,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",드라마,청소년 관람불가,19273,16,2,4,3,265,261,0,3,7157,3757,28.0,84.0,16803.0,768,3208,201749,789,3339,137708,827,3572,186192,794,3373,175216,big
6,역린,20140430,3849552,롯데쇼핑㈜롯데엔터테인먼트,사극,15세 관람가,17528,0,2,14,5,208,274,0,1,6255,810,25.0,35.0,6366.0,947,4654,287855,995,4828,359186,1020,4982,256994,987,4821,301345,big
7,신의 한 수,20140703,3566852,(주)쇼박스,범죄,청소년 관람불가,190686,0,0,11,8,82,115,1,2,2407,365,504.0,1320.0,73945.0,664,3506,181459,716,3733,201477,794,4079,369886,724,3772,250940,big
8,끝까지 간다,20140529,3450305,(주)쇼박스,액션,15세 관람가,41217,12,1,6,5,81,219,0,1,1320,229,107.0,300.0,26472.0,629,3216,79698,625,3271,107280,645,3430,222279,633,3305,136419,big
9,표적,20140430,2841828,씨제이이앤엠(주),액션,15세 관람가,23813,1,0,7,6,120,261,0,1,1717,191,18.0,34.0,7010.0,576,3132,105838,610,3110,154618,639,3260,141583,608,3167,134013,big
10,나의 사랑 나의 신부,20141008,2141155,씨네그루(주)다우기술,멜로/로맨스,15세 관람가,13586,1,0,1,1,79,183,0,3,8499,921,81.0,212.0,12831.0,577,2935,88406,587,3120,201045,610,3032,114571,591,3029,134674,small
11,남자가 사랑할 때,20140122,1979311,(주)넥스트엔터테인먼트월드(NEW),멜로/로맨스,15세 관람가,9097,0,0,16,7,150,217,1,4,0,0,11.0,29.0,6982.0,484,2212,98730,497,2219,85593,511,2268,98632,497,2233,94318,big
12,기술자들,20141224,1778083,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세 관람가,21944,1,0,3,5,169,252,0,4,24306,2459,477.0,1409.0,63883.0,641,3226,274404,614,3126,422784,629,3082,168545,628,3144,288577,big
13,제보자,20141002,1755181,메가박스중앙(주)플러스엠,드라마,12세 관람가,13903,15,0,18,12,201,275,0,3,3728,633,25.0,104.0,21156.0,676,3511,107854,661,3520,214023,650,3339,188016,662,3456,169964,mid
14,피끓는 청춘,20140122,1676040,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세 관람가,6921,1,0,11,3,161,205,1,4,0,0,22.0,43.0,8566.0,557,2641,157026,607,2789,135915,626,2921,134260,596,2783,142400,big
15,두근두근 내 인생,20140903,1624601,씨제이이앤엠(주),드라마,12세 관람가,11258,7,0,5,7,119,184,0,3,15718,3747,36.0,96.0,13610.0,612,2980,99364,605,2898,63160,629,2920,100128,615,2932,87550,big
16,우아한 거짓말,20140313,1619188,CGV아트하우스,드라마,12세 관람가,14524,3,2,3,7,107,217,0,1,163,13,62.0,149.0,15982.0,485,2313,54153,487,2436,77528,553,2809,187283,508,2519,106321,mid
17,해무(海霧),20140813,1475507,(주)넥스트엔터테인먼트월드(NEW),드라마,청소년 관람불가,157,9,0,23,16,244,314,1,2,7489,1057,18.0,54.0,12091.0,580,3076,174827,584,3077,159769,548,2776,227378,570,2976,187324,big
18,인간중독,20140514,1441973,(주)넥스트엔터테인먼트월드(NEW),멜로/로맨스,청소년 관람불가,25409,18,0,3,1,207,255,0,1,5486,1115,10.0,18.0,4679.0,576,2742,89092,603,2777,107663,644,2935,126444,607,2818,107733,big
19,찌라시: 위험한 소문,20140220,1221427,씨제이이앤엠(주),범죄,15세 관람가,3938,2,2,4,11,148,93,1,4,0,0,9.0,26.0,4631.0,466,2193,91576,479,2280,98038,552,2468,173347,499,2313,120987,big
20,빅매치,20141127,1177438,(주)넥스트엔터테인먼트월드(NEW),액션,15세 관람가,10132,10,0,14,9,171,218,0,3,4634,739,446.0,1132.0,60677.0,618,2898,75112,626,2998,96658,627,3103,165268,623,2999,112346,big
21,슬로우 비디오,20141002,1169562,이십세기폭스코리아(주),드라마,12세 관람가,5936,2,0,3,2,140,266,0,3,8508,962,17.0,67.0,11947.0,596,3171,98673,618,3433,222079,613,3412,182455,609,3338,167735,small
22,방황하는 칼날,20140410,989906,씨제이이앤엠(주),범죄,청소년 관람불가,4496,3,0,12,4,110,215,0,1,1932,155,12.0,43.0,7863.0,481,2217,66643,518,2396,84300,594,2741,157498,531,2451,102813,big
23,우리는 형제입니다,20141023,970373,(주)쇼박스,코미디,12세 관람가,10506,10,0,11,6,53,226,0,3,5789,669,69.0,119.0,4348.0,517,2569,62171,533,2706,75401,547,2936,141213,532,2737,92928,big
