"points" "reviews"
"1" "8" "관람객잼있게 잘보았습니다 내네  "
"2" "5" "별로...재미없었어요..  "
"3" "8" "관람객넘 지났지만 마악왕 돈더미.^^  "
"4" "10" "관람객그럴수도있져 세상 사는게 뜻대로만 대겠습니깡! 더좋은영화로 돌아오셈! 파이팅  "
"5" "6" "먼가 아쉬운듯한 느낌입니다. 각 캐릭터가 조화는 맞으나 먼가 연기력이 부족한게 있지 않나 싶고 송강호의 연기만으로는 힘든 영화라 봅니다. 기대하고 보시기 보단 그냥 하나의 사건을 본다는 생각으로 봐야할것 같습니다.  "
"6" "4" "볼거리는 있는디 겁나게 지루해부러요  "
"7" "4" "관람객노잼 지루햇습니다 ..ㅎ  "
"8" "6" "관람객배우들의 연기력은 좋았으나 연출이 별로  "
"9" "1" "와 평점이 낮아서 영화보고  내가평가한다! 하고봤는데 역시나 괜히봤음...무슨내용인지 대~충만 알것같은 영화 와.. 송강호 연기볼꺼면 보셈  "
"10" "1" "별하나도 아깝다! 내부자들에서의 성공 매너리즘에 빠진듯한 영화! 내가 내부자들 감독인데, 느그들이 봐 줘야하는거 아니겠어?? 뭐 이런건가?? 스토리 뭐 이런걸 떠나서 재미 없음.  "
"11" "1" "대사가 잘 들리지도않고 모든대화는 돌려말하기일쑤고 도데체 내용전개가 어케되는건지이해가안되  "
"12" "5" "송강호도 이젠 다 소비된듯...  "
"13" "4" "관람객보헤미안 랩소디 볼걸...  후회막심이로구나!  "
"14" "10" "관람객전 재밌게 봤는데 나쁜짓을 어떻게 해야하는지 알게됨 ㅋ  "
"15" "5" "배두나 등장부터 고개를 갸우뚱하게함... 어디까지가 실화인지 픽션인지 거리를 두게됨...  "
"16" "7" "16부작 드라마로 제작되었다면 더 좋았을 영화. 스토리도 연기도 좋았으나 짧은 시간에 다 담을려니 연결선의 디테일한 부분들이 많이 아쉽네요 쉽게 말하면 버스가 정거장에서 손님 덜 탑승했는데 다음 정거장으로 그냥 문닫고 출발하는 느낌?  "
"17" "6" "관람객송강호의 연기가 좋았다  개연성이떨어진다  "
"18" "2" "최악중에최악이라구요  "
"19" "2" "영화 작품성은 개똥이지만 마지막에 시대상을 저격하는 내용이 있었네. 왜 송강호가 이 작품을 택했는지 짐작이 감.  "
"20" "1" "보다 보다 참고보다 꺼버렸음.영화 만들어논 꼬라지가 ㅉㅉ  "
"21" "1" "빤한 스토리에 연출도 배우 연기력으로 커버되는 영화 많던데 이건..심폐소생도 안되네  "
"22" "1" "특정 정치색을 기반으로 박정희 정권을 마약왕국으로 둔갑시키는 어의 없는 영화  "
"23" "6" "관람객휴 ? 이걸 왜 만들었지?  "
"24" "6" "조정석은 확실히 미스캐스팅같음.. 혼자 90년대 검사같은 느낌  "
"25" "6" "관람객초중반은  몰입도 있었는데  후반은  뭔가 좀  지루했음  "
"26" "4" "관람객ㅇ ㅏ..어떤영화와 겹치는  "
"27" "8" "관람객다들 연기를 잘하지만 내눈은 왜 조정석만 그리 멋있는지~~~  "
