"points" "reviews"
"1" "10" "관람객너무 재밌어서 2번 봤어요! 남자친구랑도 재밌게 보고 부모님과도 재밌게 본 영화예용ㅎㅎㅎ 너무 재밌어서 걱정거리 생각도 안 나는 시간이었어요!  "
"2" "1" "오늘 봤는데 이런 병맛 영화가 어찌 1500만을?ㅋㅋㅋ 비디오 500원 으로도 족하다 ㅋㅋㅋ  "
"3" "10" "진선규 배우 대사 하나하나 다터짐  "
"4" "2" "조금 웃긴 뻔한 한국 코미디 영화  "
"5" "10" "관람객간만에 잼잇게 잘 봣습니다  "
"6" "7" "관람객보고 많이 웃었습니다.  "
"7" "10" "관람객생각없이보고웃을수있는영화 이하늬너무귀여워용  "
"8" "6" "웃기기만 하고 아쉬운 영화  "
"9" "8" "관람객배우분들의 캐릭터와 연기력이 넘넘 잼있었어요~  "
"10" "10" "관람객진짜 재미있어요 영화 내내 웃으면서 보는 거 처음이에요 최고  "
"11" "10" "육아에 지칠때 가끔 시간내서 영화보는데 보길 잘했음ㅋㅋ 간만에 아무생각없이~~웃었음ㅋㅋ 20대때는 심오하고 열린결말에 해석이 다양한 영화 많이 좋아했는데.. 이제는 단순하게 웃을수 있는해피한 코믹영화가 좋아짐ㅜㅜㅋ  "
"12" "10" "관람객ㅋㅋㅋㅋ 얼마나 웃기든지요..  "
"13" "10" "사실 개봉 둘째날 관람하고 이제 별 등록합니다 보자마자 천만 무조건 가리라 예상은 했지만 대단합니다 웃음 컨셉 하나에 집중되어 어설프지 않은 코메디 영화였습니다 보는 내내 즐거웠습니다  "
"14" "10" "관람객걍 영화 보느내내 빵 터짐 부담없이 보세요  "
"15" "10" "관람객교훈이 되는 좋은 영화였어요  "
"16" "10" "관람객오랜만에  엄청웃고옴  최고임  "
"17" "10" "보는 내내 웃었던 영화는 이게 처음인듯ㅋㅋㅋㅋ주변에서 봤던 사람들이 재밌다더라~할때만 해도 그냥 뻔한 내용의 영화겠지라는 생각으로 보러갔는데 러닝타임 내내 웃겼음 관람료가 안 아까운 영화임  "
"18" "3" "관람객에휴,, 그냥 웃기려는 노력이 가상하다에 하나, 출연자들 조합이 반개, 재미없고 재미없고 재미없다.  "
"19" "10" "관람객대존잼 승룡띠 영화 좋은거 건진듯  "
"20" "8" "관람객웃겨서 내용이 기억이 안나욬ㅋ  "
"21" "2" "볼게없으니 운도 지리 존영화  "
"22" "8" "관람객가족들과 가볍게 볼 수 있는 영화였어요. 코미디라 기대하고 갔는데 소소하게 웃겼어요. 액션신도 액션 자체나 연출에 있어서 좀 더 임팩트가 있었다면 더 좋았을 것 같아요. 그냥 아웅다웅 하는 것처럼 보였거든요.  "
"23" "10" "관람객재미있었음. 웃다 보면 어느새 영화가 끝남.  "
"24" "10" "기대이상으로 재미있게봤어요  "
"25" "10" "개꿀잼임 처음부터 끝까지 재밌고 코미디있고 완전꿀잼임  "
"26" "10" "진성규님 홧팅! 정말 잼나게 봤어요.  "
"27" "10" "관람객영화초반김여사는대단했다  "
"28" "10" "너무 오버스럽지 않아 좋은 영화...별건 없지만 그냥 아이들이랑 재밌게 봤음  "
"29" "6" "한석규×오달수 반장님이 캐리함.. 350만이 적당할듯.  "
"30" "10" "관람객처음부터 끝까지 웃음을 놓지 않는 영화 요즘 일때문에 힘들었는데 스트레스를 풀고 갑니다.  "
"31" "8" "아~ 닭통 땡긴다~~~~  "
"32" "9" "관람객코미디에 충실한 영화, 설정도 재밌고, 유쾌하다 !  "
"33" "4" "해외명작들이 우리나라에서 개봉을 꺼려하는 이유  "
"34" "1" "와 억지 웃음죽인다.. 닭살..  "
"35" "10" "이런 영화를 영화관에서 큰 화면으로 볼 수 있어서 좋았습니다. ㅋㅋㅋ진선규님 너무 웃겼어용ㅋㅋㅋ또 봐도 재밌을 영화~!  "
"36" "4" "천만까지 갈만한 영화는 아니었음.. 설 개봉타이밍 이 신이 한수였을뿐... 크게 웃기지도 않았고 배우들의 웃기려는 연기도 어색  "
"37" "9" "배우들 캐릭터 설정 및 캐미가 굳굳굳  "
"38" "8" "관람객오랜만에 본 영화 대성공했네여~^^간만에 많이 웃다가 갑니다너무너무 재밌네욤  "
"39" "8" "관람객가볍게 생각없이 즐길수있는영화  "
"40" "10" "진짜 별 생각없이 보러갔다가 보는내내 웃다가 나왔습니다 ㅋㅋ 참 재밌었음!  "
