,俺豪捞傈_包按荐,俺豪1老_包按荐,俺豪2老_包按荐,俺豪3老_包按荐,俺豪4老_包按荐,俺豪5老_包按荐,俺豪6老_包按荐,俺豪7老_包按荐,俺豪8老_包按荐,俺豪9老_包按荐,俺豪10老_包按荐
0,22500,682701,705070,867437,1232529,1257380,990022,869153,702887,652776,690123
1,35335,273445,254862,297432,479385,471916,259470,258062,227125,281635,515794
2,31394,142843,138364,175833,343558,333768,160582,173540,266619,405341,546819
3,33048,184756,198552,241578,442930,454191,204536,217631,335504,543227,333668
4,13964,551841,419127,468320,870278,779539,286565,254286,177631,134986,147005
5,16803,201749,137708,186192,338753,312611,407853,475507,355169,134480,127705
6,6366,287855,359186,256994,381300,405385,444058,320364,81974,90096,116036
7,73945,181459,201477,369886,356481,157809,152240,138051,109707,130509,252252
8,26472,79698,107280,222279,208827,81305,84735,138267,96532,176875,168728
9,7010,105838,154618,141583,207546,236418,273478,228072,67897,66124,104006
10,12831,88406,201045,114571,195146,175493,64377,63330,67241,63269,85482
11,6982,98730,85593,98632,177437,170698,81881,83924,91287,92394,109312
12,63883,274404,422784,168545,254449,239658,104238,112289,137833,160371,95119
13,21156,107854,214023,188016,161491,59650,61149,63068,121538,66295,102188
14,8566,157026,135915,134260,263245,222870,74401,70689,72581,83398,92255
15,13610,99364,63160,100128,190219,154459,198026,236932,192787,31948,41117
16,15982,54153,77528,187283,182612,52826,55447,53881,45478,59311,145943
17,12091,174827,159769,227378,191975,167225,79228,74056,51746,45693,44545
18,4679,89092,107663,126444,183941,135247,69377,72617,62430,52549,62936
19,4631,91576,98038,173347,170847,71326,67588,76044,47022,52973,98798
20,60677,75112,96658,165268,166084,61201,61769,38029,33554,43580,75159
21,11947,98673,222079,182455,142343,39567,39374,39288,88458,45675,59902
22,7863,66643,84300,157498,141712,44516,41827,36846,31295,39563,80644
23,4348,62171,75401,141213,128071,36798,37861,46553,32018,50281,103668
24,30423,101033,57791,125500,108796,35489,36749,37763,19818,26007,44336
25,21016,58083,76470,106949,89174,46218,47468,44754,23510,25842,38164
26,18634,108567,179740,66867,92749,85246,46113,48804,29912,28439,18455
27,16573,54251,56264,111867,106072,39942,40872,37086,22978,26177,48182
28,47328,121991,67165,93916,77511,64429,23788,22676,15917,8870,8723
29,3869,48348,53277,128083,102953,20597,21542,33762,34060,17537,40662
30,2847,39397,51779,55598,90365,77377,29084,26352,21484,22568,24971
31,2366,67380,79801,118950,88993,25492,21955,20226,11707,14091,26196
32,9266,27304,29139,55258,54850,22231,22794,23832,17973,25158,36909
33,2168,24638,50390,68836,85501,62146,18761,27423,30115,11922,16015
34,6799,60234,73883,91330,100291,72271,22138,13868,11559,3594,3961
35,8522,67072,87072,67742,52754,29027,28942,20405,22671,13898,16051
36,40584,38128,39276,56050,53619,26196,26420,17921,16263,17261,24282
37,29256,37015,55203,83246,69225,22309,19745,19292,7233,6574,9313
38,6369,13936,47669,30549,47906,42617,38500,16701,15965,12611,6497
39,6916,26180,31504,44259,42102,14950,14930,17345,7785,14366,28036
40,5647,18744,23897,41273,35167,14126,15330,8864,8004,8237,11684
41,7052,13283,17132,34844,32290,9832,12545,10703,2584,3376,5422
42,3618,20553,20513,27216,23370,10695,10028,5299,2467,3102,3731
43,3931,26180,29174,13350,18219,16690,7033,5833,5279,1352,1048
44,3571,19255,9033,8583,15978,13037,3358,3241,1110,194,149
45,1635,8031,7214,7289,7066,3545,3314,4151,741,356,934
46,1507,5451,4860,9552,7766,2250,2531,2933,260,111,305
47,25421,414219,404907,477754,715334,723999,420701,407694,392815,406788,715051
48,14375,477541,435039,543245,949186,950620,424718,401083,494019,335000,394879
49,113784,230949,283518,489503,488052,211777,194968,251123,189116,247340,464510
50,14455,250237,223381,281969,543047,497421,150543,144379,140417,118066,236352
51,9223,153400,170284,228338,437118,439924,218354,216362,195325,167113,230462
52,7584,191090,272689,581845,551505,187763,163290,227313,228623,248137,460104
53,26776,203173,190883,242838,422443,445051,185312,180295,184877,374902,746400
54,8202,113443,110284,137631,322022,269925,97742,148087,296713,441844,497065
55,18501,151161,114294,160114,358084,334969,107313,107402,123777,81943,128837
56,6663,181737,205567,412599,363234,150695,137205,137384,90688,114215,209996
57,24775,50533,95087,182738,275581,355699,321468,133381,92953,100182,204348
58,12711,114540,168889,293387,270739,92254,82916,87182,60576,80548,153387
59,10822,152329,128753,148335,289789,273777,95381,93456,97141,75646,88251
60,29229,114401,118845,185720,181634,90024,87191,117419,64589,83784,166453
61,7684,133838,153283,157607,282070,238918,92463,86967,61808,56568,61586
62,11447,96139,110021,215539,209098,71810,74780,45328,40911,44199,94504
63,18634,97241,133145,249459,230545,79305,85824,83478,50960,76403,149288
64,19064,128396,107684,116610,185048,181920,67049,64980,58592,93923,166212
65,6348,90899,88335,135205,151207,152370,104859,130500,48433,43274,51970
66,17046,53241,58574,116858,110839,44353,50146,42570,42040,50798,94657
67,13682,89466,160928,156779,135450,46545,43485,48417,35143,50736,88597
