,Date,Frequency,Movie
0,2019-01-01,36,언니
1,2019-01-02,36,언니
2,2019-01-03,41,언니
3,2019-01-04,37,언니
4,2019-01-05,45,언니
5,2019-01-06,35,언니
6,2019-01-07,40,언니
7,2019-01-09,41,말모이
8,2019-01-10,40,말모이
9,2019-01-11,40,말모이
10,2019-01-12,42,말모이
11,2019-01-13,82,말모이
12,2019-01-14,96,말모이
13,2019-01-15,84,말모이
14,2018-12-19,40,스윙키즈
15,2018-12-20,45,스윙키즈
16,2018-12-21,43,스윙키즈
17,2018-12-22,44,스윙키즈
18,2018-12-23,50,스윙키즈
19,2018-12-24,42,스윙키즈
20,2018-12-25,57,스윙키즈
21,2018-12-19,38,마약왕
22,2018-12-20,46,마약왕
23,2018-12-21,22,마약왕
24,2018-12-22,38,마약왕
25,2018-12-23,31,마약왕
26,2018-12-24,39,마약왕
27,2018-12-25,39,마약왕
28,2018-12-26,36,PMC:더 벙커
29,2018-12-27,30,PMC:더 벙커
30,2018-12-28,25,PMC:더 벙커
31,2018-12-29,21,PMC:더 벙커
32,2018-12-30,22,PMC:더 벙커
33,2018-12-31,19,PMC:더 벙커
34,2019-01-01,18,PMC:더 벙커
35,2018-12-07,20,트와이스랜드
36,2018-12-08,13,트와이스랜드
37,2018-12-09,13,트와이스랜드
38,2018-12-10,3,트와이스랜드
39,2018-12-11,5,트와이스랜드
40,2018-12-12,3,트와이스랜드
41,2018-12-13,1,트와이스랜드
42,2018-12-06,1,리벤져
43,2018-12-07,0,리벤져
44,2018-12-08,0,리벤져
45,2018-12-09,0,리벤져
46,2018-12-10,1,리벤져
47,2018-12-11,0,리벤져
48,2018-12-12,0,리벤져
