,Date,Frequency,Movie
0,2018-12-25,43,언니
1,2018-12-26,38,언니
2,2018-12-27,41,언니
3,2018-12-28,37,언니
4,2018-12-29,22,언니
5,2018-12-30,29,언니
6,2018-12-31,39,언니
7,2019-01-02,8,말모이
8,2019-01-03,20,말모이
9,2019-01-04,22,말모이
10,2019-01-05,31,말모이
11,2019-01-06,31,말모이
12,2019-01-07,24,말모이
13,2019-01-08,39,말모이
14,2018-12-12,17,스윙키즈
15,2018-12-13,42,스윙키즈
16,2018-12-14,35,스윙키즈
17,2018-12-15,41,스윙키즈
18,2018-12-16,19,스윙키즈
19,2018-12-17,38,스윙키즈
20,2018-12-18,50,스윙키즈
21,2018-12-12,8,마약왕
22,2018-12-13,5,마약왕
23,2018-12-14,39,마약왕
24,2018-12-15,19,마약왕
25,2018-12-16,17,마약왕
26,2018-12-17,32,마약왕
27,2018-12-18,42,마약왕
28,2018-12-19,21,PMC:더 벙커
29,2018-12-20,11,PMC:더 벙커
30,2018-12-21,15,PMC:더 벙커
31,2018-12-22,5,PMC:더 벙커
32,2018-12-23,5,PMC:더 벙커
33,2018-12-24,9,PMC:더 벙커
34,2018-12-25,5,PMC:더 벙커
35,2018-11-30,12,트와이스랜드
36,2018-12-01,4,트와이스랜드
37,2018-12-02,3,트와이스랜드
38,2018-12-03,6,트와이스랜드
39,2018-12-04,1,트와이스랜드
40,2018-12-05,3,트와이스랜드
41,2018-12-06,30,트와이스랜드
42,2018-11-29,1,리벤져
43,2018-11-30,1,리벤져
44,2018-12-01,1,리벤져
45,2018-12-02,0,리벤져
46,2018-12-03,1,리벤져
47,2018-12-04,3,리벤져
48,2018-12-05,0,리벤져
