,name,moviename,peopleCd,prizeCount
0,윤상현,덕수리 5형제,10054305,0
1,송새벽,덕수리 5형제,10037095,4
2,이아이,덕수리 5형제,10056447,0
3,찬성,덕수리 5형제,20176541,0
4,김지민,덕수리 5형제,20196270,0
5,이광수,덕수리 5형제,20111692,0
6,장혁,가시,10060612,0
7,조보아,가시,20180677,0
8,정유미,터널 3D,10062072,0
9,연우진,터널 3D,10035632,0
10,송재림,터널 3D,20190050,0
11,정시연,터널 3D,20190051,0
12,신은경,설계,10040543,0
13,오인혜,설계,20170184,0
14,이기영,설계,0,0
15,강지섭,설계,20189428,0
16,이민호,강남 1970,20185376,2
17,김래원,강남 1970,10004028,3
18,정진영,강남 1970,20160139,0
19,임창정,치외법권,10058849,3
20,최다니엘,치외법권,20111535,0
21,유승호,조선마술사,10053782,0
22,고아라,조선마술사,10001669,0
23,오지호,연애의 맛,10050782,0
24,강예원,연애의 맛,20066563,0
25,김성수,검은손,10004594,0
26,한고은,검은손,10087380,0
27,윤여정,계춘할망,10054391,13
28,김고은,계춘할망,20125838,5
29,정현진,번개맨,20216268,0
30,루나,번개맨,20211229,0
31,이주승,대결,10057434,1
32,오지호,대결,10050782,0
33,이정진,대결,10057320,0
34,이지아,무수단,10057553,0
35,김민준,무수단,10004220,1
36,노무현,노무현입니다,10008060,0
37,이선균,임금님의 사건수첩,10055970,2
38,안재홍,임금님의 사건수첩,10043631,2
39,강예원,비정규직 특수요원,20066563,0
40,한채아,비정규직 특수요원,20128729,0
41,최성국,구세주: 리턴즈,10072338,0
42,송삼동,구세주: 리턴즈,10037091,0
43,김성경,구세주: 리턴즈,20279569,0
44,정이연,구세주: 리턴즈,20279589,0
45,김보민,구세주: 리턴즈,0,0
46,RM,번 더 스테이지: 더 무비,20311775,0
47,진,번 더 스테이지: 더 무비,20311792,0
48,슈가,번 더 스테이지: 더 무비,20311774,0
49,제이홉,번 더 스테이지: 더 무비,20311776,0
50,지민,번 더 스테이지: 더 무비,20311793,0
51,뷔,번 더 스테이지: 더 무비,20311773,0
52,정국,번 더 스테이지: 더 무비,10061445,0
53,소주연,속닥속닥,20299549,0
54,김민규,속닥속닥,20227828,0
55,서홍석,번개맨과 신비의 섬,20302511,0
56,홍민아,번개맨과 신비의 섬,0,0
57,유수호,번개맨과 신비의 섬,20302512,0
58,최오식,번개맨과 신비의 섬,20302529,0
59,이상철,번개맨과 신비의 섬,20302530,0
60,김수미,번개맨과 신비의 섬,20302531,0
61,이천희,데자뷰,10057706,0
62,남규리,데자뷰,10007498,0
63,이규한,데자뷰,10054895,0
64,서홍석,번개맨의 비밀,20302511,0
65,유수호,번개맨의 비밀,20302512,0
66,최오식,번개맨의 비밀,20302529,0
67,이상철,번개맨의 비밀,20302530,0
68,김수미,번개맨의 비밀,20302531,0
69,김혜원,번개맨의 비밀,0,0
