,0
0,"친구들이랑 영화보러간당

극한직업보러간다"
1,"극한직업 영화본 사람만 아는 대사
췈헠칰, 가자아~!!!!!!!! ,안아파..^^안아파...^^"
2,오늘 영화 보러가시는 분들 모두 잘 관람하고 오세요ㅠㅠ 전 내일 이랍니다.  꺅! 오늘은 극한직업 보고 오겟숩니다ㅋㅋ pic.twitter.com/4sM5IldIYw
3,"＇극한직업＇ 박스오피스 1위, ＇코미디·1월 영화＇ 역대 최다 오프닝 갱신 https://movie.v.daum.net/v/20190124144910099 …
예고편은 수없이 봐도 재밌을거 같던데...함 극장가서 보고싶긴 하당."
4,극한직업 영화 재밌나요???
5,영화보러간다~~~극한직업이였나?
6,영화 극한직업 보고 왔당
7,"죽어서 영화 살리는 남자 류승룡, 좀비 마약반장으로 화려하게 부활!

지난 23일(수) 개봉한 영화 <극한직업>, 개봉 첫 날부터 박스오피스 1위를 차지하며 개봉 3일 만인 26일(금) 누적 관객 1백만명 돌파 예상.

https://blog.naver.com/cinemaplus/221450579716 … pic.twitter.com/nXFGPcDrni"
8,"나중에 영화보려는데 뭘 볼까..
극한직업 볼까"
9,“콜라 뿜을 뻔했다” 개봉하자마자 박스오피스 1위 찍은 핵웃긴 영화 '극한직업' https://www.insight.co.kr/news/206531 
10,영화보고 나왔는데 피자들고 집에 들어온 사람 느낌되었구.... 암튼 극한직업 재밌었어 우리애도 코미디 찍었으면ㅜㅜ
11,"급 영화관람ㅋ
#극한직업
배꼽빠지는줄 ㅋㅋ
선규오빠 knuababoda96 도 나오고 지영언니 @velvety74 도 나오고 반가웠어요~^^
너무웃김 ㅋㅋ seoul, South Korea https://www.instagram.com/p/BtDkXUNh2ns/?utm_source=ig_twitter_share&igshid=uhocb2usqz21 …"
12,영화보구 옵니다 극한직업
13,"[영화] 극한직업 리뷰 (스포 주의) 
마약, 치킨, 액션, 웃음 중독되는 것만 모았다 
https://koboo.tistory.com/69 
#극한직업 #리뷰 #수원왕갈비통닭 #마약 #웃음 #액션 #치킨 #후기 #재밌다"
14,'극한직업' 개봉 3일만에 100만 돌파…역대 코미디 영화 최단 흥행 속도 http://zul.im/0FyySV 
15,"심야영화로 극한직업 보고 너무 해보고싶은 작품이 생겼다.
여성주연 코미디형사수사범죄물.ㅠ
수십년간 한국에서 거의 사골국물우려먹듯이 계속나오는 이 장르 클리셰 똑같이 가져다가 캐릭터 성별만 바꿔도 진짜 ㄹㅇ 개갓꿀잼일거같은데ㅠㅜ 목표삼는다ㄹㅇ..
(아 영화는 개웃겼음ㅋㅋㅋㅋ개그개짱"
16,알바 끝나고 10시 40분 영화로 극한직업을 보고 왓는데 그게... 영화에서 너무 치킨을 맛잇게 튀겨가지고 친구랑 영화 끝나고 둘 다 치킨 먹고싶다고 즉석으로 치맥하러 간
17,"극한직업. 연휴, 경찰, 치킨... 한국시장을 겨냥한 상업영화 기획의 모범사례를 남기고자 의도적으로 제작한 게 아닐까 싶을 정도로 사업전략이 선명한 영화. 중간중간 가문의 영광 수준으로 추잡한 장면들이 있긴 해도 전체적으로 황교익이 싫어할만한 흐름과 완성도를 유지하는 우수한 명랑영화다."
18,"퇴근하면서 영화 극한직업 봤는데
울적하고 마음이 복잡할때 딱인거 같다
아무생각없이 유쾌하게 볼 수있는
불금에 어울리는 킬링타임용 영화로 pic.twitter.com/CpZOvzqlAv"
19,"으아악 영화 보고 시퍼,,,,,,,
말모이 그린북 극한직업 뺑반 언더독,,,"
20,아 근데 진짜 존나 웃겨 극한직업 안본사람들.. 봐주세요.. 진짜.. 개웃김.. (영화요..)
21,"홍대데이트
1. 가게 열릴때까지 KFC에서 치킨너겟 먹으면서 대기(향수줬당)
2. 더 피자보이즈가서 뇸뇸
3. 레인보우 크레이프 뇸뇸(편지주기)
4. 극한직업 영화봤는데 너무 재밌다 8 ㅁ8 (엉엉 짱멋져
5. 홍대 50picks에서 칵테일 즐기기!
6. 밍이 집에다 데려다주고
7. 고속터미널로 이제 집가야지 헷 pic.twitter.com/qzO9e6VExw"
22,"모처럼 쉬는 날이라 극한직업 영화 보고 나왔는데, 재밌네요. "
23,영화끝나고 집가는데 존잼임ㅋㅋ딱 재밌는거하고 진지한거 섞인건데 취저야ㅋ다들 극한직업함보세요ㅎ
24,극한직업 영화 딱히 땡기지는 않지만 솔직히 쫌 궁금하고 그래.. 치킨이 나오는데 나쁜 영화일 리 없쟝 (아무말
25,극한직업 영화 보고나왓는데 개웃김ㅋㅋㄱㄱㅋㅋㄹㅇ대사 하나하나 주옥같음 하 게다가 이하늬언니 개멋잇엇다 후반부에 맘뺏김 
26,"우리맹이 목표1. 치킨CF 2. 수상
다 이룰 수 있길 응원해!!!! 

#극한직업 `막내 형사` 공명, ""규모 큰 상업영화는 처음… 꿈만 같아""
출처 : 디지털타임스 | 네이버 TV연예
 http://naver.me/GOjnReNg  pic.twitter.com/cy22mBSFym"
27,영화볼것임 극한직업 
28,"1월 26일 영화가좋다
#신작업데이트 <헬보이><콜드체이싱>
#도도한영화  <챔피언스>
#소문의시작   <증인>
#원플러스원   <PMC:더벙커><공동경비구역JSA>
#친절한기리씨 <아쿠아맨>
#신들의전쟁** 충무로 웃음 맛집! - 
<극한직업> 이병헌 감독 **"
29,영화 극한직업 코리안 무비 클리셰 덩어리이긴한데 진짜 재밌읍니다 근데 배고플때 보면 안됨 반드시 밥먹고 보세요
30,극한직업 재밌게 본 입장에서 이런 대놓고 장르영화가 무시 당하는거 보면 참 웃긴.영화는 현실을 반영하고 뭔가 메시지가 있어햐 한다고 생각하는 자칭 전문가들 덕분에 고전 걸작들의 카피로 가득찬 곡성같은 영화가 대단한 대접을 받고 검은 사제들 같은 완성도 높은 한국적 장르 영화가 천대받는.
31,"2019년 두번째 영화관람 극한직업
오로지 웃음을 생각했다는 이병헌감독 말
그대로의 설명절용 코미디액션영화
찰진 대사, 배우들의 합이 좋고 코미디로
시작해 액션으로 끝내는 구성도 무난
다만 예고편에서 웃음포인트를 너무 많이
보여준게 아닌가 하는 아쉬움이 있음

#각설탕영화산책 pic.twitter.com/V1XQ7JRN9N"
32,"극한직업 봤는데 균신 오정세랑 대화할때 티키타카 쩔어서 너무 좋았고 이무배 ㅈㄴ 세쿠시해 찡찡 거릴때 순간 에이스랑 강후니 생각나서 개좋곸ㅋㅋㅋ
감독만 마음에들었으면 n차각이였는데ㅡㅡ,,, 그냥 오정세랑 신하균이랑 또 한번 영화찍어라~~ 그땐 n차 볼테니까"
33,어제 극한직업 영화 봤는데..재밌어요 유쾌하고 그냥 진짜 코미디라 2시간 내내 웃었던
34,극한직업 또 보고싶다ㅠㅠ..... 뭔가 보면 기분이 좋아지는 영화같어 ..... 유쾌해.....
