,0
0,마약왕 예매했었는데 너무 아파서 취소
1,"마약왕 안보신분 제가 오늘 여러분께 선물을 드리도록 하죠

(그건 바로 스포에요)"
2,마약왕vs스윙키즈..흥행 승자는? 투기자 리뷰
3,"마약왕은 시사회때 망한거 벌써 들었고, 스윙키즈도 그냥저냥이라는거 보니 19일 개봉작들 지뢰밭인거야?
가장 걱정되던 스파이더버스가 최고였다니"
4,천안 야우리에서 회전초밥 갔다가 마약왕 보구 왔다!! 
5,"쉬는 날 마약왕 보러옴^^
기대기대~"
6,‘마약왕’ 예매량 10만장 육박 ‘압도적 1위’…오늘(19일) 개봉 http://tenasia.hankyung.com/archives/1623087 …
7,#마약왕 재밌었어요. 보기전엔 몰랐는데 찾아보니까 실화네요. 대단한 사건이었네요
8,"1주일도 안돼서 스파이더맨 : 뉴 유니버스가 상영관에거 대거 내려가고 , 한국 극장가는 마약왕과 아쿠아맨으로 채워졌다.

역시 한때 마블 히어로 시리즈 보다 트랜스포머를 찾던 곳 답다."
9,"마약왕 보러왔는데.

이게 청불 영화잖아요.

내가 이걸 미리 알고왔단말이야.

그래서 표 사면서 민증 보려주려고
지갑안에 민증에 손가락 끼워서 꺼낼 준비하고
막 두근두근 하고있었는데

그냥 내 쪽은 몇번 보지도 않고
슥슥 기계 터치해서 뽑아주더라.

상처받았어. 울거임. pic.twitter.com/7nmfL0mLvu"
10,송강호 원맨쇼VS존재감 없는 배우들 '마약왕'[To See or Not to See]: http://youtu.be/ZTRZoERyk4M?a  (@YouTube)
11,"아쿠아맨 잼있니?!마약왕 개노잼인가?! 
뭐보지?! "
12,"""<마약왕>은 후반부에서 새로운 양식으로 관객들에게 이두삼이라는 인물의 파멸을 보여준다. 생경하기도 하고 어렵기도 했고 두려움도 있었다."" http://omn.kr/1fi63 "
13,"마약왕 다봤어요
아쿠아맨 보러가세요"
14,내리지 말라고 마약왕 내려 부하들 올려 부하들 내리지 말고 마약왕 내려 마역왕 아직 올린적도 없지만 내려
15,"DC 빠 인 나의 여사친님 아쿠아맨을 보자신다 
아 보다가 졸거 같은데 ...
DC 영화에 속은 게 한 두번도 아니고 또 속을 순 없다
 
꼬셔서 마약왕 봐야지 ㅋㅋ"
16,'마약왕' 익스트림무비 GV 시사회 참석자 명단입니다. http://extmovie.maxmovie.com/xe/41339362?l=ko …
17,마약왕후기!!  
18,RT) <마약왕> 명대사- 배두나가 연기한 로비스트 정아킴의 '하여간 이 동네 남자들은 나라 걱정을 안해'
19,어제자 박스오피스 결과. 예상 이상으로 [마약왕] 반응이 좋네요. pic.twitter.com/uc731MHpXb
20,나란히 개봉한 ‘마약왕·아쿠아맨·스윙키즈’…첫날 1위는 ‘마약왕’ 
21,"실시간 영화 종합 예매율 현황~
1. 마약왕
2. 아쿠아 맨 "
22,"왕의 귀환!
약빤(?) 연기로 돌아온 <마약왕> '송강호'.

그의 필모그래피를 만나보자!

#마약왕 #밀정 #변호인 #택시운전사 #송강호

http://blog.skbroadband.com/3033 "
23,마약왕 제목부터 되게 성의 없지 않냐.
24,마약왕? 예고편보고 기분 재기함.
25,마약왕 감상 : 와 씨발 드디어 끝났다
26,머임 실트에 마약왕이랑 동방신기 해시태그 같이 있어서 마약왕 영화 말하는건지 모르고 마약왕동방신기인가< 이러고 있었음
27,마약왕 홍보버스 (우형ver.) 
28,"영화 마약왕 OST Part.1 [Sky High - Jigsaw]
 원본은 1975년 발매 pic.twitter.com/PDJWOKHKLf"
29,"마약왕보러간당 
정확히 말하면 우형이 보러.... 
두시간 너무 긴거안야..?"
30,마약왕은 걍 볼맘 접음.. 안볼래 기분나쁠거같애..
31,소문난 잔치에 먹을게없다더니 마약왕 평이안좋네
32,"마약왕..
송햄 대맹쓰 고생많았겠다"
33,마약왕 볼라고 했는데 다행히 영민관이 있다ㅠㅠ 
34,마약왕은 송강호를 낭비한 영화다. 그리고 이 화려한 출연진 속에서 건질만한 배우는 조우진 뿐이다. 우민호는 영화를 잘만드는 사람이 아니다.
35,마약왕 보고 왔고 여러분들은 이런 영화를 보는 불상사를 제발 겪지 않길 바랍니다 이만 총총
36,마약왕을 보며 배두나가 너무 아까웠다. 대한민국은 배두나라는 엄청난 배우를 이렇게밖에 쓸 줄 모르는건가.
37,내부자들 보안관 더킹 마스터 택시운전사 다 보았다면 마약왕을 또 볼 필요가 있을까? 아 송배우의 벗은몸과 골든샤워? 에 관심이 있다면 보는것도 뭐.. 괜찮읍니다마는...
38,마약왕. 보았다. 이름을 알법한 배우들이 영화 세 편은 만들 분량으로 나오는데 거참 떼로 몰려나온 남배우들이 다 부산말을 쓰는 바람에 내 마음속에선 '보안관' 70년대 버전같아가지고... (그러고보니 나는 심지어 보안관도 보았네ㅠ)
39,"12월 19일 오늘, 우형아 반가워! 

#마약왕_대개봉 pic.twitter.com/oFTnYCgJC2"
40,송강호분 혼자서는 패션촬영 절대 안하신다 들었고 바자에서는 마약왕 멤버가 함께하는 촬영이라 찍으셨나봐. 배두나 너무좋다.(의식흐름) pic.twitter.com/aGTA7iT8xK
41,이해안가는 한국인들 이 영화를 안보고 대체 마약왕같은거나 보고
42,"어쩌다보니 송강호 얘기가 나왔는데 영화 <마약왕>이 개봉을 했고 포스터가 뇌리에 강렬히 남아 있습니다. 영화평을 보아하니 송강호 연기 빼면 딱히 그저 그런 완성도 낮은 영화인 것 같지만, 송강호 때문에라도 보러 가야겠어요. "
43,스윙키즈 이번주에 보고 다음주에 마약왕 보려했는데 절대 안봐 ㅠ
44,"181217 #마약왕 #쇼케이스 #김대명
문제 맞춰주신 팬분과 셀카타임 v^ㅡ^v"
45,"181217 #마약왕 쇼케이스 #김대명
뭐가 그렇게 빵터지신건지"
46,드디어 출연진 목록에 추가됬구만 #허가윤 #마약왕 
47,"마약왕 못봐가지고 화나서 스윙키즈봄 
근데 존잼탱 "
48,"'마약왕' 송강호X배두나X조정석, 격이 다른 카리스마 (화보) "
49,"마약왕 봣고... 역시 듣던대로 구리고.....
좀 허무하다 두시간 넘게 버틴 내가 장하다 ㅅㅂ"
50,"아 ㅅㅂ 개쪽팔려 영화관에서
도적왕 하나요 개크게말했는데 영화이름 도적왕이 아니라 마약왕임. 영화관알바도햇던 내가 이런실수를하다니 ㅅㅂㅅㅂ 쪽팔려 
도적왕뭔데진짜 커닝시티입니까"
