,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,뉴스,개봉일7일후,개봉일7일후2,개봉후뉴스,
0,타짜-신의 손,2014-09-03,2014.09.03,2014-08-27,2014.08.27,1108,2014-09-10,2014.09.10,1072,
1,비밀은 없다,2016-06-23,2016.06.23,2016-06-16,2016.06.16,1076,2016-06-30,2016.06.30,393,
2,가려진 시간,2016-11-16,2016.11.16,2016-11-09,2016.11.09,1072,2016-11-23,2016.11.23,468,
3,데자뷰,2018-05-30,2018.05.30,2018-05-23,2018.05.23,1068,2018-06-06,2018.06.06,212,
4,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015.02.11,2015-02-04,2015.02.04,1066,2015-02-18,2015.02.18,726,
5,성난황소,2018-11-22,2018.11.22,2018-11-15,2018.11.15,1057,2018-11-29,2018.11.29,905,
6,돌연변이,2015-10-22,2015.10.22,2015-10-15,2015.10.15,1050,2015-10-29,2015.10.29,437,
7,대결,2016-09-22,2016.09.22,2016-09-15,2016.09.15,1041,2016-09-29,2016.09.29,392,
8,럭키,2016-10-13,2016.10.13,2016-10-06,2016.10.06,1035,2016-10-20,2016.10.20,777,
9,명당,2018-09-19,2018.09.19,2018-09-12,2018.09.12,1026,2018-09-26,2018.09.26,1485,
10,남한산성,2017-10-03,2017.10.03,2017-09-26,2017.09.26,1025,2017-10-10,2017.10.10,1377,
11,암수살인,2018-10-03,2018.10.03,2018-09-26,2018.09.26,1020,2018-10-10,2018.10.10,1101,
12,미안해 사랑해 고마워,2015-10-28,2015.10.28,2015-10-21,2015.10.21,1010,2015-11-04,2015.11.04,386,
13,헬머니,2015-03-05,2015.03.05,2015-02-26,2015.02.26,1008,2015-03-12,2015.03.12,299,
14,악녀,2017-06-08,2017.06.08,2017-06-01,2017.06.01,996,2017-06-15,2017.06.15,952,
15,사도,2015-09-16,2015.09.16,2015-09-09,2015.09.09,988,2015-09-23,2015.09.23,1364,
16,궁합,2018-02-28,2018.02.28,2018-02-21,2018.02.21,980,2018-03-07,2018.03.07,624,
17,황제를 위하여,2014-06-11,2014.06.11,2014-06-04,2014.06.04,979,2014-06-18,2014.06.18,391,
18,플랜맨,2014-01-09,2014.01.09,2014-01-02,2014.01.02,966,2014-01-16,2014.01.16,354,
19,완벽한 타인,2018-10-31,2018.10.31,2018-10-24,2018.10.24,964,2018-11-07,2018.11.07,988,
20,1987,2017-12-27,2017.12.27,2017-12-20,2017.12.20,950,2018-01-03,2018.01.03,1802,
21,히야,2016-03-10,2016.03.10,2016-03-03,2016.03.03,948,2016-03-17,2016.03.17,99,
22,희생부활자,2017-10-12,2017.10.12,2017-10-05,2017.10.05,947,2017-10-19,2017.10.19,545,
23,기술자들,2014-12-24,2014.12.24,2014-12-17,2014.12.17,934,2014-12-31,2014.12.31,938,
24,무수단,2016-03-03,2016.03.03,2016-02-25,2016.02.25,928,2016-03-10,2016.03.10,135,
25,경성학교: 사라진 소녀들,2015-06-18,2015.06.18,2015-06-11,2015.06.11,915,2015-06-25,2015.06.25,525,
26,레슬러,2018-05-09,2018.05.09,2018-05-02,2018.05.02,898,2018-05-16,2018.05.16,613,
27,특종: 량첸살인기,2015-10-22,2015.10.22,2015-10-15,2015.10.15,880,2015-10-29,2015.10.29,792,
