,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,뉴스,개봉일7일후,개봉일7일후2,개봉후뉴스,개봉후뉴스2
0,안시성,2018-09-19,2018.09.19,2018-09-12,2018.09.12,3806,2018-09-26,2018.09.26,19043," 1,926"
1,연평해전,2015-06-24,2015.06.24,2015-06-17,2015.06.17,1506,2015-07-01,2015.07.01,17489," 2,099"
2,돌연변이,2015-10-22,2015.10.22,2015-10-15,2015.10.15,1050,2015-10-29,2015.10.29,14424, 437
3,좋아해줘,2016-02-17,2016.02.17,2016-02-10,2016.02.10,1773,2016-02-24,2016.02.24,12533," 1,056"
4,리틀 포레스트,2018-02-28,2018.02.28,2018-02-21,2018.02.21,1456,2018-03-07,2018.03.07,12136, 982
5,좋은 친구들,2014-07-10,2014.07.10,2014-07-03,2014.07.03,628,2014-07-17,2014.07.17,9814, 315
6,위험한 상견례 2,2015-04-29,2015.04.29,2015-04-22,2015.04.22,2109,2015-05-06,2015.05.06,7390, 920
7,극적인 하룻밤,2015-12-03,2015.12.03,2015-11-26,2015.11.26,807,2015-12-10,2015.12.10,7212, 482
8,허스토리,2018-06-27,2018.06.27,2018-06-20,2018.06.20,399,2018-07-04,2018.07.04,7068, 672
9,희생부활자,2017-10-12,2017.10.12,2017-10-05,2017.10.05,947,2017-10-19,2017.10.19,3040, 545
10,군함도,2017-07-26,2017.07.26,2017-07-19,2017.07.19,4981,2017-08-02,2017.08.02,2776," 2,776"
11,신과함께-죄와 벌,2017-12-20,2017.12.20,2017-12-13,2017.12.13,1293,2017-12-27,2017.12.27,2654," 1,805"
12,부산행,2016-07-20,2016.07.20,2016-07-13,2016.07.13,2822,2016-07-27,2016.07.27,2490," 2,490"
13,버닝,2018-05-17,2018.05.17,2018-05-10,2018.05.10,3182,2018-05-24,2018.05.24,2468," 2,468"
14,명량,2014-07-30,2014.07.30,2014-07-23,2014.07.23,794,2014-08-06,2014.08.06,2256," 2,256"
15,리얼,2017-06-28,2017.06.28,2017-06-21,2017.06.21,3767,2017-07-05,2017.07.05,2241," 2,241"
16,형,2016-11-23,2016.11.23,2016-11-16,2016.11.16,2095,2016-11-30,2016.11.30,2094," 2,094"
17,곡성,2016-05-12,2016.05.12,2016-05-05,2016.05.05,1845,2016-05-19,2016.05.19,2093," 2,093"
18,신과함께-인과 연,2018-08-01,2018.08.01,2018-07-25,2018.07.25,2077,2018-08-08,2018.08.08,2019," 2,019"
19,택시운전사,2017-08-02,2017.08.02,2017-07-26,2017.07.26,1399,2017-08-09,2017.08.09,1957," 1,957"
20,인천상륙작전,2016-07-27,2016.07.27,2016-07-20,2016.07.20,3058,2016-08-03,2016.08.03,1897," 1,897"
21,암살,2015-07-22,2015.07.22,2015-07-15,2015.07.15,2459,2015-07-29,2015.07.29,1829," 1,829"
22,1987,2017-12-27,2017.12.27,2017-12-20,2017.12.20,950,2018-01-03,2018.01.03,1802," 1,802"
23,강남 1970,2015-01-21,2015.01.21,2015-01-14,2015.01.14,2984,2015-01-28,2015.01.28,1768," 1,768"
24,덕혜옹주,2016-08-03,2016.08.03,2016-07-27,2016.07.27,2543,2016-08-10,2016.08.10,1715," 1,715"
25,공작,2018-08-08,2018.08.08,2018-08-01,2018.08.01,1567,2018-08-15,2018.08.15,1699," 1,699"
26,귀향,2016-02-24,2016.02.24,2016-02-17,2016.02.17,457,2016-03-02,2016.03.02,1612," 1,612"
27,검은 사제들,2015-11-05,2015.11.05,2015-10-29,2015.10.29,1963,2015-11-12,2015.11.12,1606," 1,606"
28,강철비,2017-12-14,2017.12.14,2017-12-07,2017.12.07,2300,2017-12-21,2017.12.21,1599," 1,599"
29,더 킹,2017-01-18,2017.01.18,2017-01-11,2017.01.11,3195,2017-01-25,2017.01.25,1561," 1,561"
30,명당,2018-09-19,2018.09.19,2018-09-12,2018.09.12,1026,2018-09-26,2018.09.26,1485," 1,485"
31,협상,2018-09-19,2018.09.19,2018-09-12,2018.09.12,1848,2018-09-26,2018.09.26,1478," 1,478"
32,히말라야,2015-12-16,2015.12.16,2015-12-09,2015.12.09,2218,2015-12-23,2015.12.23,1456," 1,456"
33,아수라,2016-09-28,2016.09.28,2016-09-21,2016.09.21,4007,2016-10-05,2016.10.05,1418," 1,418"
34,신의 한 수,2014-07-03,2014.07.03,2014-06-26,2014.06.26,2281,2014-07-10,2014.07.10,1415," 1,415"
35,남한산성,2017-10-03,2017.10.03,2017-09-26,2017.09.26,1025,2017-10-10,2017.10.10,1377," 1,377"
36,사도,2015-09-16,2015.09.16,2015-09-09,2015.09.09,988,2015-09-23,2015.09.23,1364," 1,364"
37,아가씨,2016-06-01,2016.06.01,2016-05-25,2016.05.25,3485,2016-06-08,2016.06.08,1315," 1,315"
38,불한당: 나쁜 놈들의 세상,2017-05-17,2017.05.17,2017-05-10,2017.05.10,1265,2017-05-24,2017.05.24,1290, 966
39,국가부도의 날,2018-11-28,2018.11.28,2018-11-21,2018.11.21,635,2018-12-05,2018.12.05,1275," 1,275"
40,인랑,2018-07-25,2018.07.25,2018-07-18,2018.07.18,2865,2018-08-01,2018.08.01,1270," 1,270"
41,베테랑,2015-08-05,2015.08.05,2015-07-29,2015.07.29,1763,2015-08-12,2015.08.12,1262," 1,262"
42,청년경찰,2017-08-09,2017.08.09,2017-08-02,2017.08.02,2520,2017-08-16,2017.08.16,1241," 1,241"
43,타짜-신의 손,2014-09-03,2014.09.03,2014-08-27,2014.08.27,1108,2014-09-10,2014.09.10,1220," 1,072"
44,밀정,2016-09-07,2016.09.07,2016-08-31,2016.08.31,1914,2016-09-14,2016.09.14,1210," 1,210"
45,오늘의 연애,2015-01-14,2015.01.14,2015-01-07,2015.01.07,2477,2015-01-21,2015.01.21,1159," 1,159"
46,공조,2017-01-18,2017.01.18,2017-01-11,2017.01.11,2331,2017-01-25,2017.01.25,1142," 1,142"
47,허삼관,2015-01-14,2015.01.14,2015-01-07,2015.01.07,2968,2015-01-21,2015.01.21,1139," 1,139"
48,쎄시봉,2015-02-05,2015.02.05,2015-01-29,2015.01.29,1986,2015-02-12,2015.02.12,1135," 1,135"
49,어느날,2017-04-05,2017.04.05,2017-03-29,2017.03.29,1711,2017-04-12,2017.04.12,1117," 1,117"
50,검사외전,2016-02-03,2016.02.03,2016-01-27,2016.01.27,2266,2016-02-10,2016.02.10,1111," 1,111"
51,지금 만나러 갑니다,2018-03-14,2018.03.14,2018-03-07,2018.03.07,1879,2018-03-21,2018.03.21,1111," 1,111"
