,영화명,개봉일,매출액,관객수,스크린수,상영횟수,배급사,영화코드,장르,감독,기사수,배우,관객평점,링크,개봉이전_날짜,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_매출액,개봉이전_관객수,개봉이전_누적매출액,개봉이전_누적관객수,개봉이전_순위,개봉1일_날짜,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_매출액,개봉1일_관객수,개봉1일_누적매출액,개봉1일_누적관객수,개봉1일_순위,개봉2일_날짜,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_매출액,개봉2일_관객수,개봉2일_누적매출액,개봉2일_누적관객수,개봉2일_순위,개봉3일_날짜,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_매출액,개봉3일_관객수,개봉3일_누적매출액,개봉3일_누적관객수,개봉3일_순위,개봉4일_날짜,개봉4일_스크린수,개봉4일_상영횟수,개봉4일_매출액,개봉4일_관객수,개봉4일_누적매출액,개봉4일_누적관객수,개봉4일_순위,개봉5일_날짜,개봉5일_스크린수,개봉5일_상영횟수,개봉5일_매출액,개봉5일_관객수,개봉5일_누적매출액,개봉5일_누적관객수,개봉5일_순위,개봉6일_날짜,개봉6일_스크린수,개봉6일_상영횟수,개봉6일_매출액,개봉6일_관객수,개봉6일_누적매출액,개봉6일_누적관객수,개봉6일_순위,개봉7일_날짜,개봉7일_스크린수,개봉7일_상영횟수,개봉7일_매출액,개봉7일_관객수,개봉7일_누적매출액,개봉7일_누적관객수,개봉7일_순위,개봉8일_날짜,개봉8일_스크린수,개봉8일_상영횟수,개봉8일_매출액,개봉8일_관객수,개봉8일_누적매출액,개봉8일_누적관객수,개봉8일_순위,개봉9일_날짜,개봉9일_스크린수,개봉9일_상영횟수,개봉9일_매출액,개봉9일_관객수,개봉9일_누적매출액,개봉9일_누적관객수,개봉9일_순위,개봉10일_날짜,개봉10일_스크린수,개봉10일_상영횟수,개봉10일_매출액,개봉10일_관객수,개봉10일_누적매출액,개봉10일_누적관객수,개봉10일_순위,기대지수,노기대지수
0,명량,20140730,135748398910,17613682,1587,188611,씨제이이앤엠(주),20129370,사극,김한민,56134,최민식|류승룡|조진웅|,8.46,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93756,개봉이전,37,157,"172,231,000","22,500","172,231,000","22,500",,개봉1일(07/30),"1,159","6,147","4,708,879,000","682,701","4,881,110,000","705,201",1.0,개봉2일(07/31),"1,202","6,258","5,243,409,900","705,070","10,124,519,900","1,410,271",1.0,개봉3일(08/01),"1,300","6,699","6,918,410,307","867,437","17,042,930,207","2,277,708",1.0,개봉4일(08/02),"1,494","7,605","9,826,541,209","1,232,529","26,869,471,416","3,510,237",1.0,개봉5일(08/03),"1,587","7,963","10,031,212,500","1,257,380","36,900,683,916","4,767,617",1.0,개봉6일(08/04),"1,443","7,551","7,455,501,400","990,022","44,356,185,316","5,757,639",1.0,개봉7일(08/05),"1,507","7,779","6,511,760,400","869,153","50,867,945,716","6,626,792",1.0,개봉8일(08/06),"1,221","6,788","5,273,445,400","702,887","56,141,391,116","7,329,679",1.0,개봉9일(08/07),"1,239","6,776","4,892,511,700","652,776","61,033,902,816","7,982,455",1.0,개봉10일(08/08),"1,278","7,026","5,493,530,692","690,123","66,527,433,508","8,672,578",1.0,13639,1126
1,해적: 바다로 간 산적,20140806,66370682706,8666046,910,133350,롯데쇼핑㈜롯데엔터테인먼트,20136064,어드벤처,이석훈,22656,김남길|손예진|,8.27,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102817,개봉이전,27,167,"225,478,500","35,335","225,478,500","35,335",,개봉1일(08/06),786,"3,970","2,021,392,600","273,445","2,246,871,100","308,780",2.0,개봉2일(08/07),795,"3,932","1,890,503,200","254,862","4,137,374,300","563,642",2.0,개봉3일(08/08),789,"3,947","2,325,093,108","297,432","6,462,467,408","861,074",2.0,개봉4일(08/09),826,"4,028","3,769,567,017","479,385","10,232,034,425","1,340,459",2.0,개봉5일(08/10),838,"4,027","3,704,976,600","471,916","13,937,011,025","1,812,375",2.0,개봉6일(08/11),792,"3,993","1,920,733,800","259,470","15,857,744,825","2,071,845",2.0,개봉7일(08/12),827,"4,034","1,900,986,100","258,062","17,758,730,925","2,329,907",2.0,개봉8일(08/13),744,"3,630","1,674,554,300","227,125","19,433,285,225","2,557,032",2.0,개봉9일(08/14),790,"3,796","2,077,121,600","281,635","21,510,406,825","2,838,667",2.0,개봉10일(08/15),868,"4,257","4,034,789,493","515,794","25,545,196,318","3,354,461",2.0,4941,1537
2,수상한 그녀,20140122,62705348249,8657982,1027,136975,씨제이이앤엠(주),20131102,드라마,황동혁,61925,심은경|나문희|박인환|성동일|이진욱|,9.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107924,개봉이전,19,149,"195,855,000","31,394","195,855,000","31,394",,개봉1일(01/22),577,"2,672","978,767,500","142,843","1,174,622,500","174,237",3.0,개봉2일(01/23),588,"2,740","947,878,000","138,364","2,122,500,500","312,601",2.0,개봉3일(01/24),613,"2,909","1,285,895,000","175,833","3,408,395,500","488,434",2.0,개봉4일(01/25),692,"3,070","2,534,235,000","343,558","5,942,630,500","831,992",2.0,개봉5일(01/26),685,"2,999","2,446,435,500","333,768","8,389,066,000","1,165,760",2.0,개봉6일(01/27),647,"2,968","1,103,389,000","160,582","9,492,455,000","1,326,342",2.0,개봉7일(01/28),651,"3,002","1,183,279,500","173,540","10,675,734,500","1,499,882",2.0,개봉8일(01/29),674,"3,078","1,748,403,000","266,619","12,424,137,500","1,766,501",2.0,개봉9일(01/30),802,"3,423","3,054,836,000","405,341","15,478,973,500","2,171,842",2.0,개봉10일(01/31),911,"3,791","4,198,105,500","546,819","19,677,079,000","2,718,661",1.0,0,0
3,국제시장,20141217,41089567596,5345677,966,63603,씨제이이앤엠(주),20137048,드라마,윤제균,53038,황정민|김윤진|오달수|정진영|,9.01,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102875,개봉이전,68,236,"256,465,000","33,048","256,465,000","33,048",,개봉1일(12/17),931,"4,444","1,356,869,800","184,756","1,613,334,800","217,804",2.0,개봉2일(12/18),954,"4,491","1,455,888,000","198,552","3,069,222,800","416,356",1.0,개봉3일(12/19),966,"4,644","1,868,964,257","241,578","4,938,187,057","657,934",1.0,개봉4일(12/20),914,"4,760","3,544,494,287","442,930","8,482,681,344","1,100,864",1.0,개봉5일(12/21),904,"4,659","3,637,334,300","454,191","12,120,015,644","1,555,055",1.0,개봉6일(12/22),903,"4,438","1,519,757,200","204,536","13,639,772,844","1,759,591",1.0,개봉7일(12/23),960,"4,269","1,579,667,000","217,631","15,219,439,844","1,977,222",1.0,개봉8일(12/24),727,"3,523","2,551,589,500","335,504","17,771,029,344","2,312,726",1.0,개봉9일(12/25),778,"3,622","4,328,169,000","543,227","22,099,198,344","2,855,953",1.0,개봉10일(12/26),812,"3,686","2,629,532,127","333,668","24,728,730,471","3,189,621",1.0,12784,2052
4,군도: 민란의 시대,20140723,36988022499,4774931,1394,67237,(주)쇼박스,20123501,사극,윤종빈,21502,하정우|강동원|,6.92,https://movie.naver.com/movie/bi/mi/basic.nhn?code=99752,개봉이전,44,72,"102,601,000","13,964","102,601,000","13,964",,개봉1일(07/23),"1,250","6,252","4,092,186,100","551,841","4,194,787,100","565,805",1.0,개봉2일(07/24),"1,273","6,374","3,135,948,900","419,127","7,330,736,000","984,932",1.0,개봉3일(07/25),"1,295","6,641","3,741,356,393","468,320","11,072,092,393","1,453,252",1.0,개봉4일(07/26),"1,394","7,119","7,013,767,795","870,278","18,085,860,188","2,323,530",1.0,개봉5일(07/27),"1,379","6,959","6,247,999,600","779,539","24,333,859,788","3,103,069",1.0,개봉6일(07/28),"1,264","6,428","2,145,240,700","286,565","26,479,100,488","3,389,634",1.0,개봉7일(07/29),"1,280","6,384","1,895,388,300","254,286","28,374,488,788","3,643,920",1.0,개봉8일(07/30),806,"3,746","1,201,269,900","177,631","29,575,758,688","3,821,551",2.0,개봉9일(07/31),680,"2,947","1,002,750,100","134,986","30,578,508,788","3,956,537",3.0,개봉10일(08/01),654,"2,699","1,182,762,369","147,005","31,761,271,157","4,103,542",3.0,14319,1262
5,타짜-신의 손,20140903,32373120927,4015361,890,80584,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",20134804,드라마,강형철,19273,T.O.P|신세경|곽도원|이하늬|,7.26,https://movie.naver.com/movie/bi/mi/basic.nhn?code=67769,개봉이전,28,84,"128,406,100","16,803","128,406,100","16,803",,개봉1일(09/03),768,"3,208","1,533,302,500","201,749","1,661,708,600","218,552",1.0,개봉2일(09/04),789,"3,339","1,041,255,700","137,708","2,702,964,300","356,260",1.0,개봉3일(09/05),827,"3,572","1,534,961,696","186,192","4,237,925,996","542,452",1.0,개봉4일(09/06),890,"3,847","2,830,420,981","338,753","7,068,346,977","881,205",1.0,개봉5일(09/07),876,"3,727","2,660,344,100","312,611","9,728,691,077","1,193,816",1.0,개봉6일(09/08),877,"3,607","3,488,924,700","407,853","13,217,615,777","1,601,669",1.0,개봉7일(09/09),874,"3,562","3,970,800,300","475,507","17,188,416,077","2,077,176",1.0,개봉8일(09/10),848,"3,388","2,931,689,800","355,169","20,120,105,877","2,432,345",1.0,개봉9일(09/11),718,"2,989","999,494,600","134,480","21,119,600,477","2,566,825",1.0,개봉10일(09/12),739,"3,084","1,028,278,521","127,705","22,147,878,998","2,694,530",1.0,7157,3757
6,역린,20140430,29894266890,3849552,1054,83296,롯데쇼핑㈜롯데엔터테인먼트,20139183,사극,이재규,17528,현빈|정재영|조정석|조재현|한지민|,7.06,https://movie.naver.com/movie/bi/mi/basic.nhn?code=108225,개봉이전,25,35,"42,921,000","6,366","42,921,000","6,366",,개봉1일(04/30),947,"4,654","1,933,393,300","287,855","1,976,314,300","294,221",1.0,개봉2일(05/01),995,"4,828","2,686,447,900","359,186","4,662,762,200","653,407",1.0,개봉3일(05/02),"1,020","4,982","2,032,404,362","256,994","6,695,166,562","910,401",1.0,개봉4일(05/03),"1,054","5,125","3,097,021,662","381,300","9,792,188,224","1,291,701",1.0,개봉5일(05/04),"1,013","4,887","3,303,531,300","405,385","13,095,719,524","1,697,086",1.0,개봉6일(05/05),"1,010","4,590","3,576,944,000","444,058","16,672,663,524","2,141,144",1.0,개봉7일(05/06),977,"4,386","2,562,974,000","320,364","19,235,637,524","2,461,508",1.0,개봉8일(05/07),897,"4,240","606,761,600","81,974","19,842,399,124","2,543,482",1.0,개봉9일(05/08),841,"3,969","655,782,400","90,096","20,498,181,524","2,633,578",1.0,개봉10일(05/09),841,"4,072","907,787,243","116,036","21,405,968,767","2,749,614",1.0,6255,810
7,신의 한 수,20140703,28812027456,3566852,794,77109,(주)쇼박스,20139201,범죄,조범구,190686,정우성|이범수|안성기|김인권|이시영|,8.03,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107373,개봉이전,504,"1,320","589,721,700","73,945","589,721,700","73,945",,개봉1일(07/03),664,"3,506","1,390,445,200","181,459","1,980,166,900","255,404",1.0,개봉2일(07/04),716,"3,733","1,659,580,484","201,477","3,639,747,384","456,881",1.0,개봉3일(07/05),794,"4,079","3,091,253,599","369,886","6,731,000,983","826,767",2.0,개봉4일(07/06),780,"4,006","2,986,300,500","356,481","9,717,301,483","1,183,248",2.0,개봉5일(07/07),733,"3,873","1,209,843,800","157,809","10,927,145,283","1,341,057",1.0,개봉6일(07/08),742,"3,887","1,162,755,300","152,240","12,089,900,583","1,493,297",1.0,개봉7일(07/09),702,"3,774","1,058,025,400","138,051","13,147,925,983","1,631,348",1.0,개봉8일(07/10),645,"3,206","838,665,700","109,707","13,986,591,683","1,741,055",2.0,개봉9일(07/11),662,"3,303","1,079,990,936","130,509","15,066,582,619","1,871,564",2.0,개봉10일(07/12),687,"3,450","2,127,586,726","252,252","17,194,169,345","2,123,816",2.0,2407,365
8,끝까지 간다,20140529,27007303900,3450305,645,84875,(주)쇼박스,20130442,액션,김성훈,41217,이선균|조진웅|,9.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109778,개봉이전,107,300,"186,449,000","26,472","186,449,000","26,472",,개봉1일(05/29),629,"3,216","590,812,000","79,698","777,261,000","106,170",2.0,개봉2일(05/30),625,"3,271","840,713,400","107,280","1,617,974,400","213,450",2.0,개봉3일(05/31),645,"3,430","1,788,757,000","222,279","3,406,731,400","435,729",2.0,개봉4일(06/01),633,"3,268","1,698,652,000","208,827","5,105,383,400","644,556",2.0,개봉5일(06/02),609,"3,172","609,470,600","81,305","5,714,854,000","725,861",1.0,개봉6일(06/03),639,"2,588","626,695,600","84,735","6,341,549,600","810,596",1.0,개봉7일(06/04),434,"1,868","1,091,990,500","138,267","7,433,540,100","948,863",3.0,개봉8일(06/05),439,"1,935","713,963,400","96,532","8,147,503,500","1,045,395",2.0,개봉9일(06/06),508,"2,097","1,397,842,500","176,875","9,545,346,000","1,222,270",3.0,개봉10일(06/07),542,"2,194","1,350,514,700","168,728","10,895,860,700","1,390,998",2.0,1320,229
9,표적,20140430,22256769300,2841828,716,72255,씨제이이앤엠(주),20139164,액션,창,23813,류승룡|유준상|이진욱|김성령|조여정|조은지|,7.49,https://movie.naver.com/movie/bi/mi/basic.nhn?code=106547,개봉이전,18,34,"59,479,000","7,010","59,479,000","7,010",,개봉1일(04/30),576,"3,132","713,159,400","105,838","772,638,400","112,848",2.0,개봉2일(05/01),610,"3,110","1,161,505,800","154,618","1,934,144,200","267,466",3.0,개봉3일(05/02),639,"3,260","1,115,801,500","141,583","3,049,945,700","409,049",3.0,개봉4일(05/03),649,"3,215","1,669,597,700","207,546","4,719,543,400","616,595",3.0,개봉5일(05/04),643,"3,155","1,912,303,700","236,418","6,631,847,100","853,013",3.0,개봉6일(05/05),663,"3,095","2,184,598,500","273,478","8,816,445,600","1,126,491",3.0,개봉7일(05/06),665,"3,109","1,818,951,600","228,072","10,635,397,200","1,354,563",3.0,개봉8일(05/07),622,"3,243","514,034,200","67,897","11,149,431,400","1,422,460",2.0,개봉9일(05/08),604,"3,210","498,222,700","66,124","11,647,654,100","1,488,584",2.0,개봉10일(05/09),631,"3,391","822,411,900","104,006","12,470,066,000","1,592,590",2.0,1717,191
