,배급사
0,씨제이이앤엠(주)
1,롯데쇼핑㈜롯데엔터테인먼트
2,씨제이이앤엠(주)
3,씨제이이앤엠(주)
4,(주)쇼박스
5,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스"
6,롯데쇼핑㈜롯데엔터테인먼트
7,(주)쇼박스
8,(주)쇼박스
9,씨제이이앤엠(주)
10,씨네그루(주)다우기술
11,(주)넥스트엔터테인먼트월드(NEW)
12,롯데쇼핑㈜롯데엔터테인먼트
13,메가박스중앙(주)플러스엠
14,롯데쇼핑㈜롯데엔터테인먼트
15,씨제이이앤엠(주)
16,CGV아트하우스
17,(주)넥스트엔터테인먼트월드(NEW)
18,(주)넥스트엔터테인먼트월드(NEW)
19,씨제이이앤엠(주)
20,(주)넥스트엔터테인먼트월드(NEW)
21,이십세기폭스코리아(주)
22,씨제이이앤엠(주)
23,(주)쇼박스
24,(주)리틀빅픽쳐스
25,롯데쇼핑㈜롯데엔터테인먼트
26,"(주)쇼박스,(주)와우픽쳐스"
27,롯데쇼핑㈜롯데엔터테인먼트
28,씨제이이앤엠(주)
29,(주)넥스트엔터테인먼트월드(NEW)
30,유나이티드픽처스(주)
31,롯데쇼핑㈜롯데엔터테인먼트
32,(주)오에이엘
33,(주)리틀빅픽쳐스
34,(주)쇼박스
35,씨제이이앤엠(주)
36,씨제이이앤엠(주)
37,롯데쇼핑㈜롯데엔터테인먼트
38,롯데쇼핑㈜롯데엔터테인먼트
39,(주)프레인글로벌
40,롯데쇼핑㈜롯데엔터테인먼트
41,"메가박스중앙(주)플러스엠,(주)레드로버"
42,(주)인벤트스톤
43,롯데쇼핑㈜롯데엔터테인먼트
44,(주)박수엔터테인먼트
45,(주)팝엔터테인먼트
46,(주)마인스 엔터테인먼트
47,씨제이이앤엠(주)
48,(주)쇼박스
49,(주)쇼박스
50,(주)쇼박스
51,(주)넥스트엔터테인먼트월드(NEW)
52,씨제이이앤엠(주)
53,씨제이이앤엠(주)
54,(주)쇼박스
55,(주)넥스트엔터테인먼트월드(NEW)
56,(주)쇼박스
57,씨제이이앤엠(주)
58,씨제이이앤엠(주)
59,(주)쇼박스
60,(주)넥스트엔터테인먼트월드(NEW)
61,씨제이이앤엠(주)
62,씨제이이앤엠(주)
63,(주)넥스트엔터테인먼트월드(NEW)
64,(주)넥스트엔터테인먼트월드(NEW)
65,CGV아트하우스
66,씨제이이앤엠(주)
67,씨제이이앤엠(주)
68,롯데쇼핑㈜롯데엔터테인먼트
69,CGV아트하우스
70,메가박스중앙(주)플러스엠
71,(주)넥스트엔터테인먼트월드(NEW)
72,씨네그루(주)다우기술
73,씨제이이앤엠(주)
74,(주)넥스트엔터테인먼트월드(NEW)
75,롯데쇼핑㈜롯데엔터테인먼트
76,롯데쇼핑㈜롯데엔터테인먼트
77,(주)넥스트엔터테인먼트월드(NEW)
78,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트"
79,씨제이이앤엠(주)
80,(주)리틀빅픽쳐스
81,롯데쇼핑㈜롯데엔터테인먼트
82,CGV아트하우스
83,"(주)리틀빅픽쳐스,(주)이수C&E"
84,(주)시네마서비스
85,롯데쇼핑㈜롯데엔터테인먼트
86,판씨네마(주)
87,CGV아트하우스
88,씨제이이앤엠(주)
89,(주)인벤트스톤
90,롯데쇼핑㈜롯데엔터테인먼트
91,"(주)와우픽쳐스,(주)쇼박스"
92,(주)쇼박스
93,씨제이이앤엠(주)
94,이십세기폭스코리아(주)
95,씨네그루(주)다우기술
96,필라멘트픽쳐스
97,"(주)리틀빅픽쳐스,(주)인벤트스톤"
98,(주)쇼박스
99,CGV아트하우스
100,"(주)대명문화공장,(주)나이너스엔터테인먼트"
101,와이드 릴리즈(주)
102,(주)스톰픽쳐스코리아
103,(주)넥스트엔터테인먼트월드(NEW)
104,(주)쇼박스
105,워너브러더스 코리아(주)
106,(주)쇼박스
107,씨제이이앤엠(주)
108,(주)쇼박스
109,이십세기폭스코리아(주)
110,롯데쇼핑㈜롯데엔터테인먼트
111,씨제이이앤엠(주)
112,(주)넥스트엔터테인먼트월드(NEW)
113,씨제이이앤엠(주)
114,(주)와우픽쳐스
115,씨제이이앤엠(주)
116,씨제이이앤엠(주)
117,(주)쇼박스
118,씨제이이앤엠(주)
119,씨제이이앤엠(주)
120,(주)넥스트엔터테인먼트월드(NEW)
121,씨제이이앤엠(주)
122,메가박스중앙(주)플러스엠
123,메가박스중앙(주)플러스엠
124,롯데쇼핑㈜롯데엔터테인먼트
125,(주)넥스트엔터테인먼트월드(NEW)
126,메가박스중앙(주)플러스엠
127,씨제이이앤엠(주)
128,씨제이이앤엠(주)
129,오퍼스픽쳐스
130,메가박스중앙(주)플러스엠
131,(주)쇼박스
132,롯데쇼핑㈜롯데엔터테인먼트
133,(주)넥스트엔터테인먼트월드(NEW)
134,(주)쇼박스
135,롯데쇼핑㈜롯데엔터테인먼트
136,(주)콘텐츠 난다긴다
137,롯데쇼핑㈜롯데엔터테인먼트
138,(주)넥스트엔터테인먼트월드(NEW)
139,(주)프레인글로벌
140,씨제이이앤엠(주)
141,(주)리틀빅픽쳐스
142,(주)쇼박스
143,"(주)대명문화공장,(주)리틀빅픽쳐스"
144,롯데쇼핑㈜롯데엔터테인먼트
145,CGV아트하우스
146,(주)리틀빅픽쳐스
147,씨네그루(주)키다리이엔티
148,"(주)대명문화공장,(주)리틀빅픽쳐스"
149,씨네그루(주)키다리이엔티
150,오퍼스픽쳐스
151,"(주)스톰픽쳐스코리아,(주)이수C&E"
152,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온"
153,씨제이이앤엠(주)
154,(주)라이크 콘텐츠
155,오퍼스픽쳐스
156,(주)쇼박스
157,롯데쇼핑㈜롯데엔터테인먼트
158,씨제이이앤엠(주)
159,"메가박스중앙(주)플러스엠,(주)키위미디어그룹"
160,씨제이이앤엠(주)
161,롯데쇼핑㈜롯데엔터테인먼트
162,(주)넥스트엔터테인먼트월드(NEW)
163,(주)쇼박스
164,(주)넥스트엔터테인먼트월드(NEW)
165,씨제이이앤엠(주)
166,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스"
