,0
0,씨제이이앤엠(주)
1,롯데쇼핑㈜롯데엔터테인먼트
2,(주)쇼박스
3,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스"
4,씨네그루(주)다우기술
5,(주)넥스트엔터테인먼트월드(NEW)
6,메가박스중앙(주)플러스엠
7,CGV아트하우스
8,이십세기폭스코리아(주)
9,(주)리틀빅픽쳐스
10,"(주)쇼박스,(주)와우픽쳐스"
11,유나이티드픽처스(주)
12,(주)오에이엘
13,(주)프레인글로벌
14,"메가박스중앙(주)플러스엠,(주)레드로버"
15,(주)인벤트스톤
16,(주)박수엔터테인먼트
17,(주)팝엔터테인먼트
18,(주)마인스 엔터테인먼트
19,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트"
20,"(주)리틀빅픽쳐스,(주)이수C&E"
21,(주)시네마서비스
22,판씨네마(주)
23,"(주)와우픽쳐스,(주)쇼박스"
24,필라멘트픽쳐스
25,"(주)리틀빅픽쳐스,(주)인벤트스톤"
26,"(주)대명문화공장,(주)나이너스엔터테인먼트"
27,와이드 릴리즈(주)
28,(주)스톰픽쳐스코리아
29,워너브러더스 코리아(주)
30,(주)와우픽쳐스
31,오퍼스픽쳐스
32,(주)콘텐츠 난다긴다
33,"(주)대명문화공장,(주)리틀빅픽쳐스"
34,씨네그루(주)키다리이엔티
35,"(주)스톰픽쳐스코리아,(주)이수C&E"
36,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온"
37,(주)라이크 콘텐츠
38,"메가박스중앙(주)플러스엠,(주)키위미디어그룹"
39,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스"
40,"오퍼스픽쳐스,CGV아트하우스"
41,"CGV아트하우스,영화사 풀"
42,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니"
43,"씨네그루(주)키다리이엔티,주식회사 키위컴퍼니"
44,"(주)이수C&E,(주)스톰픽쳐스코리아"
45,"(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니"
46,월트디즈니컴퍼니코리아 유한책임회사
47,롯데컬처웍스(주)롯데엔터테인먼트
48,"롯데컬처웍스(주)롯데엔터테인먼트,씨네그루(주)키다리이엔티"
49,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
50,(주)그노스
51,(주)제이앤씨미디어그룹
52,(주)스마일이엔티
53,"힘컨텐츠(주),(주)디스테이션"
54,플레이리스트(주)
55,(주)디스테이션
